"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Dysithamnus","Dysithamnus puncticeps","Dysithamnus_puncticeps","Dysithamnus puncticeps",0.0636028309970189,15.68,"Myrhvold_2015; Wilman_etal_2014; vertnet-aves-sept2016",3,"Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","GBIF",99,"ACCEPTED","Thamnophilidae","Passeriformes",FALSE
"Dysithamnus","Dysithamnus stictothorax","Dysithamnus_stictothorax","Dysithamnus stictothorax",0,16.16,"Wilman_etal_2014",1,"Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","GBIF",99,"ACCEPTED","Thamnophilidae","Passeriformes",FALSE
"Dysithamnus","Dysithamnus striaticeps","Dysithamnus_striaticeps","Dysithamnus striaticeps",0.221848749616356,14.67,"Myrhvold_2015; Wilman_etal_2014; vertnet-aves-sept2016",3,"Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","GBIF",99,"ACCEPTED","Thamnophilidae","Passeriformes",FALSE
"Dysithamnus","Dysithamnus xanthopterus","Dysithamnus_xanthopterus","Dysithamnus xanthopterus",0,16.16,"Wilman_etal_2014",1,"Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","GBIF",99,"ACCEPTED","Thamnophilidae","Passeriformes",FALSE
"Dysomma","Dysomma anguillare","Dysomma_anguillare","Dysomma anguillare",0,181.8,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Anguilliformes","Synaphobranchidae","GBIF",99,"ACCEPTED","Synaphobranchidae","Anguilliformes",FALSE
"Dyspanopeus","Dyspanopeus sayi","Dyspanopeus_sayi","Dyspanopeus sayi",0,3,"Brose_etal_2018",29,"Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","GBIF",99,"ACCEPTED","Panopeidae","Decapoda",FALSE
"Dyspanopeus","Dyspanopeus texanus","Dyspanopeus_texanus","Dyspanopeus texanus",0,3,"Brose_etal_2018",30,"Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","GBIF",99,"ACCEPTED","Panopeidae","Decapoda",FALSE
"Dytaster","Dytaster grandis","Dytaster_grandis","Dytaster grandis",0,57.43,"Durden_2016",1,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","GBIF",99,"ACCEPTED","Astropectinidae","Paxillosida",FALSE
"Dytiscus","Dytiscus marginalis","Dytiscus_marginalis","Dytiscus marginalis",0.776486753365993,17.51,"Brose_etal_2018; Quaardvark",29,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","GBIF",99,"ACCEPTED","Dytiscidae","Coleoptera",FALSE
"Eacles","Eacles imperialis","Eacles_imperialis","Eacles imperialis",0.00196070076552802,1.108,"Castro_2025; Makarieva_2008",2,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","GBIF",99,"ACCEPTED","Saturniidae","Lepidoptera",FALSE
"Ebalia","Ebalia cranchii","Ebalia_cranchii","Ebalia cranchii",0,0.4,"Jennings_2002",1,"Animalia","Arthropoda","Malacostraca","Decapoda","Leucosiidae","GBIF",99,"ACCEPTED","Leucosiidae","Decapoda",FALSE
"Ebenavia","Ebenavia inunguis","Ebenavia_inunguis","Ebenavia inunguis",0.00935089706882479,1.719,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Gekkonidae","GBIF",99,"ACCEPTED","Gekkonidae",NA,FALSE
"Ebenavia","Ebenavia maintimainty","Ebenavia_maintimainty","Ebenavia maintimainty",0.0338582672609674,0.385,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Gekkonidae","GBIF",99,"ACCEPTED","Gekkonidae",NA,FALSE
"Echelus","Echelus myrus","Echelus_myrus","Echelus myrus",0,347,"fishbase",1,"Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae","GBIF",99,"ACCEPTED","Ophichthidae","Anguilliformes",FALSE
"Echidna","Echidna catenata","Echidna_catenata","Echidna catenata",0,81.83,"Froese_2025; Froese_2014",1,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","GBIF",99,"ACCEPTED","Muraenidae","Anguilliformes",FALSE
"Echidna","Echidna nocturna","Echidna_nocturna","Echidna nocturna",0,81.6,"Pauly_2024",1,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","GBIF",99,"ACCEPTED","Muraenidae","Anguilliformes",FALSE
"Echidna","Echidna ramsayi","Megalibgwilia_ramsayi","Megalibgwilia ramsayi",0,10000,"Faurby_etal_2018; Smith_2003",2,"Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","GBIF",98,"SYNONYM","Tachyglossidae","Monotremata",TRUE
"Echimys","Echimys chrysurus","Echimys_chrysurus","Echimys chrysurus",0.0292578006395804,631.7,"Cai_etal_2025; Ernest_2003; Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003",6,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","GBIF",99,"ACCEPTED","Echimyidae","Rodentia",FALSE
"Echimys","Echimys saturnus","Echimys_saturnus","Echimys saturnus",8.31323502305969e-06,626.9,"Cai_etal_2025; Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003",5,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","GBIF",99,"ACCEPTED","Echimyidae","Rodentia",FALSE
"Echimys","Echimys semivillosus","Echimys_semivillosus","Echimys semivillosus",0.176091259055681,266.2,"Jones_2009; Myrhvold_2015; Quaardvark; Smith_2003",4,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","GBIF",99,"ACCEPTED","Echimyidae","Rodentia",FALSE
"Echimys","Echimys vieirai","Echimys_vieirai","Echimys vieirai",0,509.8,"Faurby_etal_2018",1,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","GBIF",99,"ACCEPTED","Echimyidae","Rodentia",FALSE
