Latin name ,Island,Sex,Sampling Date,W (g),FL (cm),TL (cm)
Abudefduf saxatilis,GUADELOUPE,F,5/22/22,161.3,16,18.5
Abudefduf saxatilis,GUADELOUPE,F,5/22/22,125,15.5,17.5
Abudefduf saxatilis,GUADELOUPE,M,5/22/22,113,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,10/15/21,76,13,15
Abudefduf saxatilis,MARTINIQUE,F,10/15/21,84,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,10/15/21,63,12,13.5
Abudefduf saxatilis,MARTINIQUE,F,4/26/22,95,14,16.5
Abudefduf saxatilis,MARTINIQUE,F,4/26/22,104,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,64,13,14.5
Abudefduf saxatilis,MARTINIQUE,I,4/26/22,53,11.5,13
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,52,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,80,12.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/26/22,90,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,75,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,88,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,89,14,16.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,67,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,77,13,15
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,62,12,14
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,97,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,99,13.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,84,14,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,49,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,90,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,94,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,87,13,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,60,12,14
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,69,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,85,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,84,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,69,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,93,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,74,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,89,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,87,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,82,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,44,11,13
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,92,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,91,14,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,74,13,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,79,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,66,12,14
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,52,11.5,13
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,94,13,15
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,89,14.5,16
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,73,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,79,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,66,13.5,16
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,70,13,15
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,70,12,14.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,71,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,83,13,15
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,79,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,79,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,4/28/22,75,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,4/28/22,81,13.5,15
Abudefduf saxatilis,MARTINIQUE,F,4/28/22,83,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,8/22/22,109.9,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,89,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.1,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,62.2,12,14
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,48.8,10.5,12.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,64.2,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,76.3,13,14.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,86.6,14,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,69.3,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,110.8,15.5,17
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,104.7,15,17
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,85.8,13,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,74,12.5,15
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,48,11,13
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,89.7,13.5,16
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,70.2,12.5,14.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,85.1,14,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,83.5,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,62.9,13,14.5
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,85,13,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,88.3,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,66.5,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,95.2,14.5,16.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.9,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,90.4,13,15
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,80.4,14,16
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,57.9,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,80.5,13.5,15.5
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,74.9,12.5,14
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,79.5,13,15
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,55.6,11.5,13.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,87.7,14,16.5
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,89.9,13.5,16
Abudefduf saxatilis,MARTINIQUE,F,8/30/22,84.3,13.5,16
Abudefduf saxatilis,MARTINIQUE,M,8/30/22,69.9,13,15
Abudefduf saxatilis,MARTINIQUE,I,8/30/22,72.3,13,15.5
Acanthostracion polygonius,GUADELOUPE,F,11/8/21,319.4,24.5,24.5
Acanthostracion polygonius,GUADELOUPE,F,11/8/21,222.3,21,21
Acanthostracion polygonius,GUADELOUPE,F,11/8/21,498.9,29,29
Acanthostracion polygonius,GUADELOUPE,M,11/9/21,443,28,28
Acanthostracion polygonius,GUADELOUPE,I,11/9/21,356.7,27,27
Acanthostracion polygonius,GUADELOUPE,F,11/9/21,469,27,27
Acanthostracion polygonius,GUADELOUPE,M,11/9/21,314.5,25,25
Acanthostracion polygonius,GUADELOUPE,I,11/16/21,235,22.5,22.5
Acanthostracion polygonius,GUADELOUPE,M,11/16/21,403.2,26.5,26.5
Acanthostracion polygonius,GUADELOUPE,M,11/16/21,226.3,23.5,23.5
Acanthostracion polygonius,GUADELOUPE,M,11/16/21,283.3,23.5,23.5
Acanthostracion polygonius,GUADELOUPE,I,11/17/21,383.6,26.5,26.5
Acanthostracion polygonius,GUADELOUPE,I,11/18/21,351.2,26,26
Acanthostracion polygonius,GUADELOUPE,I,11/18/21,738.7,33.5,33.5
Acanthostracion polygonius,GUADELOUPE,I,11/18/21,609.6,31,31
Acanthostracion polygonius,GUADELOUPE,I,11/18/21,621,30,30
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,632,33,33
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,601.5,31,31
Acanthostracion polygonius,GUADELOUPE,I,5/23/22,676.2,34,34
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,314.3,24.5,24.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,1041.8,38,38
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,528.4,31,31
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,298,24.5,24.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,419.5,31.5,31.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,443.1,28.5,28.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,497.7,27.5,27.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,505.2,27.5,27.5
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,458.7,28,28
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,320.1,24,24
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,221,22,22
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,325.4,25.5,25.5
Acanthostracion polygonius,GUADELOUPE,I,5/23/22,342.5,26,26
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,278.1,23.5,23.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,388.4,25,25
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,351.9,25.5,25.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,300.2,24,24
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,333.2,25.5,25.5
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,345.6,26.5,26.5
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,326.7,24,24
Acanthostracion polygonius,GUADELOUPE,F,5/23/22,258.5,22.5,22.5
Acanthostracion polygonius,GUADELOUPE,M,5/23/22,274.8,23,23
Acanthostracion polygonius,GUADELOUPE,F,5/26/22,353.1,25,25
Acanthostracion polygonius,GUADELOUPE,F,5/28/22,390.3,25,25
Acanthostracion polygonius,GUADELOUPE,F,5/28/22,332.5,25,25
Acanthostracion polygonius,GUADELOUPE,F,5/28/22,264.5,24,24
Acanthostracion polygonius,GUADELOUPE,M,5/28/22,303.1,24,24
Acanthostracion polygonius,GUADELOUPE,M,5/28/22,322.7,25.5,25.5
Acanthostracion polygonius,GUADELOUPE,F,5/28/22,303.2,25,25
Acanthostracion polygonius,GUADELOUPE,I,5/28/22,258.6,22.5,22.5
Acanthostracion polygonius,GUADELOUPE,F,5/29/22,510.3,28.5,28.5
Acanthostracion polygonius,GUADELOUPE,F,5/29/22,422.2,27.5,27.5
Acanthostracion polygonius,GUADELOUPE,F,5/31/22,354.4,26,26
Acanthostracion polygonius,GUADELOUPE,M,5/31/22,299.1,27.5,27.5
Acanthostracion polygonius,GUADELOUPE,M,5/31/22,413.3,27.5,29
Acanthostracion polygonius,GUADELOUPE,F,6/2/22,189.8,21,21
Acanthostracion polygonius,GUADELOUPE,F,9/19/22,236.9,22.5,22.5
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,695.7,31.5,31.5
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,637.2,30,30
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,446.9,27,27
Acanthostracion polygonius,GUADELOUPE,I,9/22/22,204.4,20.5,20.5
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,288.4,24,24
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,283.1,24,24
Acanthostracion polygonius,GUADELOUPE,F,9/22/22,268.8,24,24
Acanthostracion polygonius,GUADELOUPE,F,9/27/22,780.9,33,33
Acanthostracion polygonius,MARTINIQUE,F,10/18/21,731.4,34,34
Acanthostracion polygonius,MARTINIQUE,F,10/19/21,674,32,32
Acanthostracion polygonius,MARTINIQUE,F,10/19/21,614.7,31.5,31.5
Acanthostracion polygonius,MARTINIQUE,F,10/19/21,583.5,30.5,30.5
Acanthostracion polygonius,MARTINIQUE,M,10/19/21,576.2,31,31
Acanthostracion polygonius,MARTINIQUE,M,10/19/21,491.1,28.5,28.5
Acanthostracion polygonius,MARTINIQUE,M,10/19/21,309.8,25.5,25.5
Acanthostracion polygonius,MARTINIQUE,F,10/19/21,321.4,25,25
Acanthostracion polygonius,MARTINIQUE,F,4/22/22,626,NA,31
Acanthostracion polygonius,MARTINIQUE,F,4/22/22,451,NA,28.5
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,255,NA,23
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,374,NA,26.5
Acanthostracion polygonius,MARTINIQUE,F,4/22/22,470,NA,29
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,535,NA,30.5
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,385,NA,28
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,302,NA,25.5
Acanthostracion polygonius,MARTINIQUE,M,4/22/22,257,NA,23.5
Acanthostracion polygonius,MARTINIQUE,F,4/22/22,216,NA,21.5
Acanthostracion polygonius,MARTINIQUE,M,5/2/22,220,22.5,22.5
Acanthostracion polygonius,MARTINIQUE,F,5/2/22,172,18.5,18.5
Acanthurus bahianus,GUADELOUPE,F,11/7/21,103.2,15.5,17
Acanthurus bahianus,GUADELOUPE,I,11/7/21,164.2,17.5,20
Acanthurus bahianus,GUADELOUPE,I,11/7/21,210.3,19,22
Acanthurus bahianus,GUADELOUPE,I,11/7/21,162,18,20.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,221.1,21.5,24.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,178.3,18,21.5
Acanthurus bahianus,GUADELOUPE,F,11/7/21,140.8,17,19
Acanthurus bahianus,GUADELOUPE,I,11/7/21,159.1,19,21
Acanthurus bahianus,GUADELOUPE,I,11/7/21,142.2,17,19
Acanthurus bahianus,GUADELOUPE,I,11/7/21,174.9,17.5,20.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,164.5,18,20.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,159.8,18,21
Acanthurus bahianus,GUADELOUPE,I,11/7/21,181.5,18,20.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,186.3,18.5,21
Acanthurus bahianus,GUADELOUPE,I,11/7/21,130.5,18,20
Acanthurus bahianus,GUADELOUPE,I,11/7/21,158.2,18,21
Acanthurus bahianus,GUADELOUPE,F,11/7/21,166.5,18,21
Acanthurus bahianus,GUADELOUPE,I,11/7/21,145.1,17,19.5
Acanthurus bahianus,GUADELOUPE,F,11/7/21,135.6,17,19.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,172.1,18,20
Acanthurus bahianus,GUADELOUPE,I,11/7/21,133.1,16.5,18.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,126.5,16,18.5
Acanthurus bahianus,GUADELOUPE,I,11/7/21,167.7,18,21
Acanthurus bahianus,GUADELOUPE,I,11/7/21,146.9,17.5,20.5
Acanthurus bahianus,GUADELOUPE,F,11/8/21,258.3,21.5,23
Acanthurus bahianus,GUADELOUPE,M,11/8/21,208.2,20.5,23.5
Acanthurus bahianus,GUADELOUPE,F,11/8/21,119.3,16,17
Acanthurus bahianus,GUADELOUPE,M,11/8/21,182.3,19,22
Acanthurus bahianus,GUADELOUPE,M,11/8/21,176.5,19.5,22
Acanthurus bahianus,GUADELOUPE,F,11/8/21,111.3,16,18
Acanthurus bahianus,GUADELOUPE,F,11/8/21,105,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,153.3,19,22
Acanthurus bahianus,GUADELOUPE,I,11/9/21,135.3,17.5,20.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,119.8,16.5,19
Acanthurus bahianus,GUADELOUPE,I,11/9/21,108.3,17.5,19.5
Acanthurus bahianus,GUADELOUPE,M,11/9/21,148.1,19,21.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,134.5,17.5,20.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,98.4,16,19
Acanthurus bahianus,GUADELOUPE,M,11/9/21,90.2,14.5,16
Acanthurus bahianus,GUADELOUPE,I,11/9/21,123.5,17.5,20
Acanthurus bahianus,GUADELOUPE,F,11/9/21,104.9,16,18
Acanthurus bahianus,GUADELOUPE,I,11/9/21,99.5,15,17
Acanthurus bahianus,GUADELOUPE,M,11/9/21,141.3,17.5,20.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,153.1,19,22
Acanthurus bahianus,GUADELOUPE,I,11/9/21,127.6,17,19
Acanthurus bahianus,GUADELOUPE,I,11/9/21,134.8,18,20.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,156.3,18.5,21.5
Acanthurus bahianus,GUADELOUPE,F,11/9/21,105.6,16,18
Acanthurus bahianus,GUADELOUPE,I,11/9/21,94.6,15.5,17.5
Acanthurus bahianus,GUADELOUPE,M,11/9/21,90.9,15,17
Acanthurus bahianus,GUADELOUPE,I,11/9/21,154,19.5,22
Acanthurus bahianus,GUADELOUPE,I,11/9/21,128.2,17.5,19.5
Acanthurus bahianus,GUADELOUPE,F,11/9/21,217.6,21,23.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,147.3,18,20.5
Acanthurus bahianus,GUADELOUPE,M,11/9/21,147.3,18,21
Acanthurus bahianus,GUADELOUPE,I,11/9/21,105.2,16,18
Acanthurus bahianus,GUADELOUPE,M,11/9/21,126,17,19
Acanthurus bahianus,GUADELOUPE,M,11/9/21,125.6,17,19.5
Acanthurus bahianus,GUADELOUPE,M,11/9/21,80.2,15,17.5
Acanthurus bahianus,GUADELOUPE,M,11/9/21,116.8,17,18.5
Acanthurus bahianus,GUADELOUPE,I,11/9/21,104.3,16.5,18.5
Acanthurus bahianus,GUADELOUPE,F,11/9/21,78.1,15,17
Acanthurus bahianus,GUADELOUPE,M,11/9/21,80.2,15,16.5
Acanthurus bahianus,GUADELOUPE,I,11/10/21,177.7,18,21
Acanthurus bahianus,GUADELOUPE,I,11/10/21,182.3,18,20.5
Acanthurus bahianus,GUADELOUPE,M,11/10/21,152.2,17.5,19.5
Acanthurus bahianus,GUADELOUPE,I,11/10/21,113.5,15.5,18
Acanthurus bahianus,GUADELOUPE,I,11/10/21,126.6,16.5,19
Acanthurus bahianus,GUADELOUPE,M,11/11/21,94.8,15.5,17.5
Acanthurus bahianus,GUADELOUPE,F,11/11/21,97,15,17
Acanthurus bahianus,GUADELOUPE,I,11/12/21,123.9,18,20
Acanthurus bahianus,GUADELOUPE,I,11/12/21,169.1,19.5,22.5
Acanthurus bahianus,GUADELOUPE,I,11/12/21,160.7,18.5,21
Acanthurus bahianus,GUADELOUPE,I,11/12/21,134.5,17,19
Acanthurus bahianus,GUADELOUPE,I,11/12/21,153.9,18,21
Acanthurus bahianus,GUADELOUPE,M,11/12/21,111.2,16.5,18
Acanthurus bahianus,GUADELOUPE,M,11/12/21,105.3,16,18.5
Acanthurus bahianus,GUADELOUPE,I,11/12/21,123.8,17,19.5
Acanthurus bahianus,GUADELOUPE,M,11/12/21,130.4,17.5,19.5
Acanthurus bahianus,GUADELOUPE,F,11/12/21,99.4,16,18
Acanthurus bahianus,GUADELOUPE,I,11/12/21,134.7,17,19
Acanthurus bahianus,GUADELOUPE,I,11/15/21,90.6,14.5,16.5
Acanthurus bahianus,GUADELOUPE,F,11/15/21,128.2,17.5,18.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,122.4,16,18.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,99.6,16,17.5
Acanthurus bahianus,GUADELOUPE,F,11/15/21,135.2,17,19.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,129,16,18.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,92.7,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,112.7,15.5,18
Acanthurus bahianus,GUADELOUPE,I,11/15/21,82.4,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,96.7,14.5,17
Acanthurus bahianus,GUADELOUPE,I,11/15/21,91.5,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,86.8,14,16
Acanthurus bahianus,GUADELOUPE,I,11/15/21,77.2,13.5,15.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,99.1,15,17
Acanthurus bahianus,GUADELOUPE,F,11/15/21,120,15,17.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,116.6,15.5,17.5
Acanthurus bahianus,GUADELOUPE,M,11/15/21,106.8,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,93.8,14.5,16.5
Acanthurus bahianus,GUADELOUPE,M,11/15/21,102.2,15.5,17.5
Acanthurus bahianus,GUADELOUPE,M,11/15/21,84.8,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,95.7,15,17.5
Acanthurus bahianus,GUADELOUPE,I,11/15/21,69.6,13,14.5
Acanthurus bahianus,GUADELOUPE,M,11/15/21,91.9,14.5,16.5
Acanthurus bahianus,GUADELOUPE,M,11/16/21,157.4,18.5,21.5
Acanthurus bahianus,GUADELOUPE,M,11/16/21,186.9,19,21.5
Acanthurus bahianus,GUADELOUPE,I,11/16/21,181.8,19,21.5
Acanthurus bahianus,GUADELOUPE,F,11/16/21,122.5,16.5,19.5
Acanthurus bahianus,GUADELOUPE,M,11/17/21,59,13.5,15
Acanthurus bahianus,GUADELOUPE,M,11/17/21,124.5,16.5,18.5
Acanthurus bahianus,GUADELOUPE,M,11/17/21,137.5,17,18.5
Acanthurus bahianus,GUADELOUPE,F,11/17/21,84.6,14.5,16
Acanthurus bahianus,GUADELOUPE,M,11/17/21,95.5,15.5,17.5
Acanthurus bahianus,GUADELOUPE,M,11/17/21,100,16,18
Acanthurus bahianus,GUADELOUPE,M,11/17/21,99.2,15.5,18
Acanthurus bahianus,GUADELOUPE,F,11/17/21,71,14,16
Acanthurus bahianus,GUADELOUPE,F,11/17/21,129.3,17,19
Acanthurus bahianus,GUADELOUPE,M,11/17/21,110.7,17,19
Acanthurus bahianus,GUADELOUPE,M,11/17/21,139.3,17.5,19.5
Acanthurus bahianus,GUADELOUPE,F,11/17/21,99.9,16,17.5
Acanthurus bahianus,GUADELOUPE,F,11/17/21,90.3,16,18
Acanthurus bahianus,GUADELOUPE,M,11/17/21,106.4,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,76.6,14.5,16
Acanthurus bahianus,GUADELOUPE,M,11/17/21,87.6,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,48,12.5,14
Acanthurus bahianus,GUADELOUPE,F,11/17/21,62.5,13.5,15
Acanthurus bahianus,GUADELOUPE,F,11/17/21,62.5,13.5,15
Acanthurus bahianus,GUADELOUPE,M,11/17/21,58.7,13,14.5
Acanthurus bahianus,GUADELOUPE,M,11/17/21,84.2,15,16.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,104.8,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,106,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,86.4,15.5,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,81.2,16.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,131.2,17.5,18.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,96.9,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,72,14,15.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,60.2,13.5,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,91.8,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,48.7,12,13
Acanthurus bahianus,GUADELOUPE,I,11/17/21,48.8,13,14.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,81.7,15,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,77.4,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,67.5,14,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,54.5,13,14.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,63.6,13.5,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,60,13,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,70.4,14,15.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,104.6,17,19
Acanthurus bahianus,GUADELOUPE,I,11/17/21,83.7,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,76.6,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,89.9,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,56,13,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,98.4,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,73.5,14.5,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,86.7,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,64.3,14,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,126.7,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,58.4,13,14.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,85.6,14.5,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,96,16,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,78.9,14.5,16.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,95.5,16,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,91.7,16,18.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,46.1,13,14.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,101.5,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,89.9,15,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,60.2,13.5,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,68.2,14.5,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,68.8,14,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,68.5,14,15.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,95.6,15.5,18
Acanthurus bahianus,GUADELOUPE,I,11/17/21,83.3,16.5,18.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,64.7,14,15.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,81.5,16.5,18.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,82.6,14,16
Acanthurus bahianus,GUADELOUPE,I,11/17/21,102.8,17.5,20
Acanthurus bahianus,GUADELOUPE,I,11/17/21,76.4,15.5,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,56.9,13.5,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,88.6,15,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,65.3,14,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,182.9,18.5,20.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,82.6,15,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,48,13,14
Acanthurus bahianus,GUADELOUPE,I,11/17/21,65.7,15.5,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,70.3,15.5,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,78.2,15,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,71.3,13.5,15
Acanthurus bahianus,GUADELOUPE,I,11/17/21,90.2,15,17
Acanthurus bahianus,GUADELOUPE,I,11/17/21,69.5,16,17.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,88.2,15,16.5
Acanthurus bahianus,GUADELOUPE,I,11/17/21,57.2,13,14.5
