Famille,Latin name,N,TL (cm),,,FL (cm),,,WT (g),,
,,,Mean,SD,Range (min-max),Mean,SD,Range (min-max),Mean,SD,Range            (min-max)
,Lutjanus analis,223,29.7,11.2,10.5-61,27.1,9.9,10-55.5,518.5,534.3,11.1-1678.5
,Lutjanus apodus,201,27.1,3.8,17.5-45.5,25.4,3.4,16.5-42.5,356.8,173.1,90.2-1300
,Lutjanus buccanella,934,19.6,7.1,8-44,18.1,6.5,7.5-41,147.6,140.8,7.8-1330
,Lutjanus cyanopterus,13,41.7,3.3,36-47.5,39.5,3.2,34-45.5,963.2,211.6,668.5-1673
,Lutjanus griseus,223,28.6,7.0,16.5-48,27.4,6.5,16-46.5,387.5,282.1,61.2-5500
,Lutjanus jocu,15,43.0,9.7,27.5-68.5,40.3,8.9,26.5-63.5,1367.8,1294.9,167-738.2
,Lutjanus mahogoni,152,22.8,4.3,16-37.5,21.4,4.1,14.5-35,179.2,111.4,60-1315
,Lutjanus synagris,278,22.4,6.9,8-46,20.9,6.3,8-41.5,198.4,183.2,7.8-3773.5
,Lutjanus vivanus,623,26.2,6.9,16.5-67,24.0,6.2,15-61,279.3,315.7,61.5-1386.7
,Ocyurus chrysurus,1501,27.6,5.6,10.5-52,22.6,4.4,9-43,218.9,145.9,13.5-1152.2
,Pristipomoides macrophthalmus,24,35.3,5.8,24-45,30.9,5.0,21-39,591.1,269.0,181.1-516.7
,Rhomboplites aurorubens,653,18.7,4.3,9-35.5,17.1,3.9,8.5-32,94.6,64.8,10-504.4
Malacanthidae,Malacanthus plumieri,23,41.2,4.3,30.5-50,35.8,3.7,28-42.5,332.2,98.7,139.9-1025
Monacanthidae,Aluterus monoceros,27,39.5,5.3,19.5-48.5,39.5,5.3,19.5-48.5,618.2,173.6,152-1380
,Aluterus scriptus,49,41.6,6.7,28-60,41.2,6.3,28-57,413.2,244.4,119.4-1139
,Cantherhines macrocerus,272,27.0,3.5,14-37,26.9,3.5,14-37,376.6,154.4,59.9-129.2
,Cantherhines pullus,34,15.4,1.9,10.5-18.5,15.4,1.9,10.5-18.5,79.9,25.8,28-466
Mullidae,Mulloidichthys martinicus,543,23.5,3.1,11-33,20.0,2.6,9.5-28.5,157.0,58.6,13.5-287.4
,Pseudupeneus maculatus,406,21.9,1.6,17-28,19.3,1.5,15-24.5,134.7,31.8,58.2-1952
Muraenidae,Gymnothorax moringa,44,72.9,11.7,46-100,72.6,12.2,46-100,794.1,384.0,116.5-1041.8
Ostraciidae,Acanthostracion polygonius,84,26.6,3.6,18.5-38,26.6,3.7,18.5-38,405.8,162.3,172-678.5
,Lactophrys triqueter,72,17.8,2.7,12-28.5,17.8,2.7,12-28.5,192.4,90.3,58.8-754
Polynemidae,Polydactylus oligodon,28,29.9,4.8,23-42,24.8,4.1,18.5-35,300.3,162.5,132.7-140.9
