Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Procellaria aequinoctialis,Endotherm,1.300000000000000000,0.04,0.105,40.8,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Huin, N. (1994). Diving depths of white-chinned petrels. The Condor, 96(4), 1111-1113.",1,Procellaria_aequinoctialis
Ptychorhamphus aleuticus,Endotherm,0.194000000000000000,0.717,1.166666667,40.2, temperature taken to be similar to the mean body temperature of Alcidae,"Ainley D.G., Strong C., Penniman T., Boekelheide T. (1990) The feeding ecology of Farallon seabirds. p. 51-127. In: D.G. Ainley & R.J. Boekelkeide (eds.) Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community. Stanford University Press, Stanford, California. 450pp.",1,Ptychorhamphus_aleuticus
Puffinus gravis,Endotherm,0.863000000000000000,0.1158,0.516666667,40.9,temperature taken to be similar to that for the genus Puffinus,"Ronconi, R.A., P.G. Ryan & Y. Ropert-Coudert (2010) Diving of Great Shearwaters (Puffinus gravis) in Cold and Warm Water Regions of the South Atlantic Ocean. PLoS ONE 5: e15508.",1,Puffinus_gravis
Puffinus mauretanicus,Endotherm,0.500000000000000000,0.2933,1.1,40.9,temperature taken to be similar to that for Puffinus tenuirostris,"Aguillar, J.S., S.Benvenuti, L. Dall?Antonia, M. McMinn-GrivÇ, J. Mayol-Serra (2003) Preliminary results on the foraging ecology of Balearic shearwater (Puffinus mauretanicus) from bird-borne data loggers. Sci. Mar. 67: 129-134.",1,Puffinus_mauretanicus
Puffinus tenuirostris,Endotherm,0.600000000000000000,NA,0.2,40.9,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Puffinus_tenuirostris
Phoca hispida Males,Endotherm,80.000000000000000000,2.6,23.2,36.7, temperature taken to be similar to the mean body temperature of Phocidae,"Kelly, B.P. & D. Wartzok (1996) Ringed seal diving behavior in the breeding season. Can J. Zool. 74: 1547-1555.",1,Pusa_hispida
Pygoscelis adeliae,Endotherm,4.500000000000000000,2.013,5.9,38,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Norman, F.I. & S.J. Ward (1993) Foraging group size and dive duration of AdÇlie penguins Pygoscelis adeliae at sea off Hop Island, Rauer group, East Antartica. Marine Ornithology 21: 37-47.",1,Pygoscelis_adeliae
Pygoscelis antartica,Endotherm,3.800000000000000000,NA,3.65,38,temperature taken to be similar to that for  Pygoscelis adeliae,"Takahashi, A., M.J. Dunn, P.N. Trathan, K. Sato, Y. Naito & J.P. Croxall (2003) Foraging strategies of chinstrap penguins at Signy Island, Antarctica: importance of benthic feeding on Antarctic krill. Mar. Ecol. Prog. Ser. 250: 279-289.",1,Pygoscelis_antartica
Pygoscelis papua,Endotherm,5.500000000000000000,3.5,6.3,38,temperature taken to be similar to that for  Pygoscelis adeliae,"Robinson, S.A. & M.A. Hindell (1996) Foraging ecology of gentoo penguins Pygoscelis papua at Macquarie Island during the period of chick care. Ibis 138: 722-731.",1,Pygoscelis_papua
Rheodytes leukops,Ectotherm,1.325000000000000000,44,105,15,data on mean or mean max dive times measured under anoxia (so the data are not confounded with aquatic respiration),"Priest, T. & C.E. Franklin (2002) Effect of water temperature and oxygen levels on the diving behaviour of two freshwater turtles: Rheodytes leukops and Emydura macquarii. J. Herpetol. 36: 555-561.",1,Rheodytes_leukops
Somateria mollissima,Endotherm,2.100000000000000000,0.52,0.983333333,40.87,"temperature value from: Sonne, C., Andersen, S., Mosbech, A., Flagstad, A., & Merkel, F. (2011). Monitoring Temperature and Heart Rate during Surgical Field Implantation of PTT-100 Satellite Transmitters in Greenland Sea Birds. Veterinary medicine international, 2011.","Nilsson, L. (1972) Habitat Selection, Food Choice, and Feeding Habits of Diving Ducks in Coastal Waters of SouthSweden during the Non-Breeding Season. Ornis Scandinavica 3: 55-78.",1,Somateria_mollissima
Somateria spectabilis,Endotherm,1.800000000000000000,NA,1.4,40.87,temperature taken to be similar to that for Somateria mollissima,"Schreer, J.F. & K.M. Kovacs (1997) Allometry of diving capacity in air-breathing vertebrates. Can. J. Zool. 75: 339-358.",1,Somateria_spectabilis
Sotalia fluviatilis,Endotherm,41.000000000000000000,0.667,1.5,36.5, temperature taken to be similar to the mean body temperature of Delphinidae,"Edwards,H.H. & G.D. Schnell (2001) Body length, swimming speed, dive duration and coloration of the dolphin Sotalia fluviatilis (Tucuxi) in Nicaragua. Caribb. J. Sci. 37: 271-298.",1,Sotalia_fluviatilis
Spheniscus demersus,Endotherm,3.000000000000000000,0.8,2.366666667,39.8,"temperature value from: Wilson, R. P., & GrÇmillet, D. A. V. I. D. (1996). Body temperatures of free-living African penguins (Spheniscus demersus) and bank cormorants (Phalacrocorax neglectus). Journal of Experimental Biology, 199(10), 2215-2223. ","Peterson, S.L., P.G. Ryan & D. Gremillet (2006) Is food availability limiting African Penguins Spheniscus demersus at Boulders? A comparison of foraging effort at mainland and island colonies. Ibis 148: 14-26.",1,Spheniscus_demersus
Spheniscus humboldti,Endotherm,4.295800000000000000,0.3067,2.75,39.8,temperature taken to be similar to that for Spheniscus demersus,"Luna-Jorquera, G. & B.M. Culik (1999) Diving behaviour of Humboldt Penguins Spheniscus humboldti in northern Chile. Marine Ornithology 27: 67-76.",1,Spheniscus_humboldti
Spheniscus magellanicus,Endotherm,5.000000000000000000,NA,4.6,39.8,temperature taken to be similar to that for Spheniscus demersus,"Walker, B.G. & P.D. Boersma (2003) Diving behavior of Magellanic penguins (Spheniscus magellanicus) at Punta Tombo, Argentina. Can. J. Zool. 81: 1471-1483.",1,Spheniscus_magellanicus
Spheniscus mendiculus,Endotherm,2.350000000000000000,0.0867,3.1,39.8,temperature taken to be similar to that for Spheniscus demersus,"Mills, K.L.. (2000) Diving Behaviour Of Two Gal†pagos Penguins Spheniscus mendiculus. Marine Ornithology 28: 75-79.",1,Spheniscus_mendiculus
Stenella attenuata,Endotherm,80.000000000000000000,1.95,5,37,temperature taken to be similar to that for Stenella longirostris,"Baird, R.W., A.D. Ligon, S.K. Hooker & A.M. Gorgone (2001) Subsurface and nighttime behaviour of pantropical spotted dolphins in Hawaii. Can. J. Zool. 79: 988?996",1,Stenella_attenuata
Stenella frontalis,Endotherm,127.000000000000000000,NA,6,37,temperature taken to be similar to that for Stenella longirostris,"Davis, R.W., G.A.J. Worthy, B. Wiirsig & S.K. Lynn (1996) ""Diving Behavior and At sea Movements of an Atlantic Spotted Dolphin in the Gulf of Mexico,"" Mar. Mamm. Sci. 12: 569-581.",1,Stenella_frontalis
Sula nebouxii,Endotherm,1.723000000000000000,0.1217,0.65,40.7,temperature taken to be similar to that for Sula dactylatra,"Zavalaga, C.B., S. Benvenuti, L. Dall?Antonia & S.D. Emslie (2007) Diving behavior of blue-footed boobies Sula nebouxii in northern Peru in relation to sex, body size and prey type. Mar. Ecol. Prog. Ser. 336: 291-303.",1,Sula_nebouxii
Sula sula,Endotherm,0.915000000000000000,0.02783,0.133333333,40.7,temperature taken to be similar to that for Sula dactylatra,"Weimerskirch, H., M. Le Corre, Y. Ropert-Coudert, A. Kato & F. Marsac (2005) The three-dimensional flight of red-footed boobies: adaptations to foraging in a tropical environment? Proc. R. Soc. B 272: 53-61.",1,Sula_sula
Sula variegata,Endotherm,1.300000000000000000,0.0517,0.25,40.7,temperature taken to be similar to that for Sula dactylatra,"Ludynia, K., S. Garthe & G. Luna-Jorquera (2010) Distribution and foraging behaviour of the Peruvian Booby (Sula variegata) off northern Chile. J. Ornithol. 151: 103-111.",1,Sula_variegata
Tachybaptus dominicus,Endotherm,0.100000000000000000,0.2567,0.391666667,39.55, temperature taken to be similar to the mean body temperature of Podicipedidae,"Jenni, D.A. & R.D. Gambs (1974) Diving Times of Grebes and Masked Ducks. The Auk 91: 415-417.",1,Tachybaptus_dominicus
Tachybaptus novaehollandiae,Endotherm,0.150000000000000000,0.2617,0.383333333,39.55, temperature taken to be similar to the mean body temperature of Podicipedidae,"Ropert-Coudert, Y. & A. Kato (2009) Diving Activity of Hoary-Headed (Poliocephalus poliocephalus) and Australasian Little (Tachybaptus novaehollandiae) Grebes. Waterbirds 32: 157-161.",1,Tachybaptus_novaehollandiae
Diomedea cauta,Endotherm,3.900000000000000000,0.1217,0.316666667,39.6,temperature taken to be similar to that for Diomedea exulans,"Hedd, A., R. Gales, N. Brothers & G. Robertson (1997) Diving behaviour of the shy albatross Diomedea cauta in Tasmania: initial findings and dive recorder assessment. Ibis 139: 452-460",1,Thalassarche_cauta
Chrysemys dorbignyi,Ectotherm,1.740000000000000000,11.2,31.6,27,data not averaged for day and night,"Santos, E.A., S.Y.T. Laitano & G.C. Genofre (1990). Diving physiology of Chrysemys dorbignyi Dum. & Bibr., 1835 (Reptilia: Chelonia). Comp. Biochem. Physiol. 95A: 229-236.",1,Trachemys_dorbigni
Tursiops truncatus,Endotherm,201.000000000000000000,0.43,4.333333333,36.75,"Temperature taken from: Melero, M., Rodr°guez-Prieto, V., Rubio-Garc°a, A., Garc°a-P†rraga, D., & S†nchez-Vizca°no, J. M. (2015). Thermal reference points as an index for monitoring body temperature in marine mammals. BMC research notes, 8(1), 411.","Mate, B.R., K.A. Rossbach, S.L. Nieukirk, R.S. Wells, A.B. Irvine, M.D. Scott & A.J. Read (1995) Satellite-monitored movements and dive behavior of a bottlenose dolphin (Tursiops truncatus) in Tampa Bay, Florida. Mar. Mammal Sci. 11: 452-463.",1,Tursiops_truncatus
Uria aalge,Endotherm,1.092000000000000000,1.117,3.366666667,41.6,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Wanless, S., J.A. Morris. & M.P. Harris (1988) Diving behaviour of guillemot Uria aalge, puffin Fratercula arctica and razorbill Alca torda as shown by radio-telemetry. J. Zool. (Lond.) 216: 73-81.",1,Uria_aalge
Uria lomvia,Endotherm,1.000000000000000000,1.133,4.1,39.7,"temperature value from: Sonne, C., Andersen, S., Mosbech, A., Flagstad, A., & Merkel, F. (2011). Monitoring Temperature and Heart Rate during Surgical Field Implantation of PTT-100 Satellite Transmitters in Greenland Sea Birds. Veterinary medicine international, 2011.","Elliott, K.H., G.K. Davoren & A.G. Gaston (2007) The influence of buoyancy and drag on the dive behaviour of an Arctic seabird, the Thick-billed Murre. Can. J. Zool. 85: 352-361.",1,Uria_lomvia
Ursus maritimus,Endotherm,262.500000000000000000,NA,3.166666667,36.8,body mass personally communicated by Ian Stirling,"Stirling I, van Meurs R (2015) Longest recorded underwater dive by a polar bear. Polar Biol 38:1301—1304",1,Ursus_maritimus
Zalophus californianus,Endotherm,110.100000000000000000,2.1,9.9,37,"temperature value from: Liwanag, H. E. M., Williams, T. M., Costa, D. P., Kanatous, S. B., Davis, R. W., & Boyd, I. L. (2009). The effects of water temperature on the energetic costs of juvenile and adult California sea lions (Zalophus californianus): the importance of skeletal muscle thermogenesis for thermal balance. Journal of Experimental Biology, 212(24), 3977-3984.","Feldkamp, S.D., R.L. DeLong & G.A. Antonelis (1989) Diving patterns of California sea lions, Zalophus californianus. Can. J. Zool. 67: 872?83.",1,Zalophus_californianus
Zalophus wollebaeki,Endotherm,92.000000000000000000,6.1,11.1,37,temperature taken to be similar to that for Zalophus californianus,"Villegas-Amtmann, S. & D.P. Costa (2010) Oxygen stores plasticity linked to foraging behaviour and pregnancy in a diving predator, the Galapagos sea lion. Funct. Ecol. 24: 785-795.",1,Zalophus_wollebaeki
Ziphius cavirostris,Endotherm,2112.500000000000000000,32.4,88.1,36.12142857, temperature taken to be similar to the mean body temperature of Odontoceti,"Barlow, J., K. Forney,  A. Von Saunder, & J. Urban-Ramirez (1997) A report of cetacean acoustic detection and dive interval studies (CADDIS) conducted in the southern Gulf of California, 1995. NOAA Tech. Mem. NMFS-SWFSC-250. 52pp.",1,Ziphius_cavirostris
Acalyptophis peronii,Ectotherm,0.248000000000000000,17.52,19,26.5,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acalyptophis peronii,Ectotherm,0.248000000000000000,17.67,19.21,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acalyptophis peronii,Ectotherm,0.205000000000000000,17.67,19.21,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",0,
Acalyptophis peronii,Ectotherm,0.285000000000000000,13.11,27.39,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",0,
Acalyptophis peronii,Ectotherm,0.220000000000000000,24.25,37.07,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",0,
Acalyptophis peronii,Ectotherm,0.248000000000000000,20.3,46.09,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acalyptophis peronii,Ectotherm,0.205000000000000000,27.4,46.09,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",0,
Acalyptophis peronii,Ectotherm,0.248000000000000000,30.21,54.11,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus arafurae,Ectotherm,0.083850000000000000,30,32,32,24C acclimated,"Bruton M.J., Cramp R.L., Franklin C.E. (2012) Benefits of thermal acclimation in a tropical aquatic ectotherm, the Arafura filesnake, Acrochordus arafurae. Comp Physiol B 182: 541. ",0,
Acrochordus arafurae,Ectotherm,0.082300000000000000,26,38,32,32C acclimated,"Bruton M.J., Cramp R.L., Franklin C.E. (2012) Benefits of thermal acclimation in a tropical aquatic ectotherm, the Arafura filesnake, Acrochordus arafurae. Comp Physiol B 182: 541. ",0,
Acrochordus arafurae,Ectotherm,2.320000000000000000,5.5,53.7,26,,"Pratt KL, Campbell HA, Watts ME, and Franklin CE. 2010. Environmental and ecological factors influencing dive behaviour in the freshwater snake Acrochordus arafurae: a field-based telemetric study. Marine and Freshwater Research 61:560-567.",0,
Acrochordus arafurae,Ectotherm,1.920000000000000000,7.2,55.4,26,,"Pratt KL, Campbell HA, Watts ME, and Franklin CE. 2010. Environmental and ecological factors influencing dive behaviour in the freshwater snake Acrochordus arafurae: a field-based telemetric study. Marine and Freshwater Research 61:560-567.",0,
Acrochordus arafurae,Ectotherm,2.000000000000000000,3.8,56.4,26,,"Pratt KL, Campbell HA, Watts ME, and Franklin CE. 2010. Environmental and ecological factors influencing dive behaviour in the freshwater snake Acrochordus arafurae: a field-based telemetric study. Marine and Freshwater Research 61:560-567.",0,
Acrochordus arafurae,Ectotherm,2.550000000000000000,11.1,56.9,26,,"Pratt KL, Campbell HA, Watts ME, and Franklin CE. 2010. Environmental and ecological factors influencing dive behaviour in the freshwater snake Acrochordus arafurae: a field-based telemetric study. Marine and Freshwater Research 61:560-567.",0,
Acrochordus arafurae,Ectotherm,0.083850000000000000,49,68,24,24C acclimated,"Bruton M.J., Cramp R.L., Franklin C.E. (2012) Benefits of thermal acclimation in a tropical aquatic ectotherm, the Arafura filesnake, Acrochordus arafurae. Comp Physiol B 182: 541. ",0,
Acrochordus arafurae,Ectotherm,0.082300000000000000,54,76,24,32C acclimated,"Bruton M.J., Cramp R.L., Franklin C.E. (2012) Benefits of thermal acclimation in a tropical aquatic ectotherm, the Arafura filesnake, Acrochordus arafurae. Comp Physiol B 182: 541. ",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,2.7,3.28,21,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,2.25,3.33,24,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,1.02,4.05,22,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,0.88,6,23,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,3.99,6.92,28,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,1.97,9.08,29,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,2.36,9.33,25,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,1.25,9.42,24,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,1.29,9.78,22,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,10.46,14.5,24,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,5.4,18.58,24,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,6.08,19.08,25,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,2.08,26.1,23,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,13.49,32.83,28,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,7.96,39.92,29,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,33.13,77.66,26.1,,"Heatwole, H. & R.S. Seymour (1975) Diving physiology. Chapter 15, p. 289-327. In: W. A. Dunson (ed.) The Biology of Sea Snakes. University Park Press, Baltimore. 530pp.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,38.74,116.9,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,34.8,NA,19,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,2.78,NA,19,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,69.25,NA,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,0.67,NA,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus granulatus,Ectotherm,0.326000000000000000,3.2,NA,30,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Acrochordus javanicus,Ectotherm,0.994500000000000000,0.1033,0.667,21,"night, active","Pough FH. 1973. Heart rate, breathing and voluntary diving of the elephant trunk snake, Acrochordus javanicus. Comp. Biochem. Physiol. 44(A), 183-189.",0,
Acrochordus javanicus,Ectotherm,0.994500000000000000,0.992,2.917,21,"night, active","Pough FH. 1973. Heart rate, breathing and voluntary diving of the elephant trunk snake, Acrochordus javanicus. Comp. Biochem. Physiol. 44(A), 183-189.",0,
Aechmophorus occidentalis,Endotherm,0.900000000000000000,0.387,0.983,38.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Forbes, S.L. & S.G. Sealy (1988) Diving behaviour of male and female western grebes. Can. J. Zool. 66: 2695-2498.",0,
Aechmophorus occidentalis,Endotherm,0.900000000000000000,0.368,0.983,38.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Forbes, S.L. & S.G. Sealy (1988) Diving behaviour of male and female western grebes. Can. J. Zool. 66: 2695-2498.",0,
Aechmophorus occidentalis,Endotherm,0.900000000000000000,0.507,1.05,38.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Lawrence, G.E. (1950) The Diving and feeding activity of the Western grebe on the breeding grounds. The Condor 52: 3-16.",0,
Aechmophorus occidentalis,Endotherm,0.900000000000000000,0.667,1.133,38.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Forbes, S.L. & S.G. Sealy (1988) Diving behaviour of male and female western grebes. Can. J. Zool. 66: 2695-2498.",0,
Aipysurus duboisii,Ectotherm,0.355000000000000000,33.07,37.67,22,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus duboisii,Ectotherm,0.355000000000000000,16.31,45.76,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus duboisii,Ectotherm,0.355000000000000000,22.83,NA,25,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus duboisii,Ectotherm,0.355000000000000000,8.5,NA,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus duboisii,Ectotherm,0.355000000000000000,16.72,NA,28,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,6.27,8.12,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,8,9.08,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,15.38,18.73,23,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,18.35,21.75,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,20.02,30,23,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,27.82,35.85,22.5,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,17.23,NA,23,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Aipysurus laevis,Ectotherm,0.533000000000000000,4.47,NA,26,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",0,
Alca torda,Endotherm,0.730600000000000000,0.778,NA,41.3,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Benvenuti , S., L. Dall?Antonia & P. Lyngs (2001) Foraging behaviour and time allocation of chick-rearing Razorbills Alca torda at Graesholmen, central Baltic Sea. lbis 143: 402-412.",0,
Alca torda,Endotherm,0.616000000000000000,0.583,NA,41.3,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Wanless, S., J.A. Morris. & M.P. Harris (1988) Diving behaviour of guillemot Uria aalge, puffin Fratercula arctica and razorbill Alca torda as shown by radio-telemetry. J. Zool. (Lond.) 216: 73-81.",0,
Alca torda,Endotherm,,0.385,NA,41.3,original value from Clarke and Rothery,"Thaxter C, Wanless S, Daunt F, Harris M, Benvenuti S, Watanuki Y, GrÈmillet D, Hamer K (2010) Influence of wing loading on the trade-off between pursuit-diving and flight in common guillemots and razorbills. J Exp Biol 213:1018ñ1025",0,
Alle alle,Endotherm,,0.616666667,1.32,40.1,"temperature value from: Gabrielsen, G. W., Taylor, J. R., Konarzewski, M., & Mehlum, F. (1991). Field and laboratory metabolism and thermoregulation in dovekies (Alle alle). The Auk, 108(1), 71-78.","KARNOVSKY, N., BROWN, Z., WELCKER, J., HARDING, A., WALKUSZ, W., CAVALCANTI, A., HARDIN, J., KITAYSKY, A., GABRIELSEN, G. & GR…MILLET, D. 2011. Inter-colony comparison of diving behavior of an Arctic top predator: implications for warming in the Greenland Sea. Marine Ecology Progress Series 440: 229ñ240.",0,
Alle alle,Endotherm,,0.866666667,1.5,40.1,"temperature value from: Gabrielsen, G. W., Taylor, J. R., Konarzewski, M., & Mehlum, F. (1991). Field and laboratory metabolism and thermoregulation in dovekies (Alle alle). The Auk, 108(1), 71-78.","Harding AMA, Egevang C, Walkusz W, Merkel F, Blanc S, GrÈmillet D (2009) Estimating prey capture rates of a planktivorous seabird, the little auk (Alle alle), using diet, diving behaviour, and energy consumption. Polar Biology, 32: 785-796",0,
Amblyrhynchus cristatus,Ectotherm,2.254000000000000000,3.1,6.3,23.1,,"Hobson ES. 1969. Remarks on Aquatic Habits of the Galapagos Marine Iguana, Including Submergence Times, Cleaning Symbiosis, and the Shark Threat. Copeia 1969:401-402",0,
Amblyrhynchus cristatus,Ectotherm,2.254000000000000000,NA,30,22.8,,"Hobson, E.S. (1965) Observations on Diving in the Galapagos Marine Iguana, Amblyrhynchus cristatus (Bell). Copeia 1965: 249-250.",0,
Anhinga melanogaster,Endotherm,1.400000000000000000,0.467,1.133,40.9,temperature taken to be similar to that for Anhinga anhinga,"Ryan, P. (2007) Diving in shallow water: the foraging ecology of darters (Aves: Anhingidae). J. Avian Biol. 38: 507-514.",0,
Anisops deanei,Ectotherm,0.000012430000000000,4.733,NA,15,,"Matthews, P.G.D., & Seymour, R.S. (2008) Haemoglobin as a buoyancy regulator and oxygen supply in the backswimmer (Notonectidae, Anisops). Journal of Experimental Biology 211: 3790-3799; doi: 10.1242/jeb.018721
",0,
Anisops deanei,Ectotherm,0.000012430000000000,3.917,NA,20,,"Matthews, P.G.D., & Seymour, R.S. (2008) Haemoglobin as a buoyancy regulator and oxygen supply in the backswimmer (Notonectidae, Anisops). Journal of Experimental Biology 211: 3790-3799; doi: 10.1242/jeb.018721
",0,
Anisops deanei,Ectotherm,0.000012430000000000,2.083,NA,25,,"Matthews, P.G.D., & Seymour, R.S. (2008) Haemoglobin as a buoyancy regulator and oxygen supply in the backswimmer (Notonectidae, Anisops). Journal of Experimental Biology 211: 3790-3799; doi: 10.1242/jeb.018721
",0,
