Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Arctocephalus pusillus Female,Endotherm,73.500000000000000000,2.2,8.1,37.7,temperature taken to be similar to that for Arctocephalus galapagoensis,"Arnould, J.P.Y. & M.A. Hindell (2001) Dive behaviour, foraging locations, and maternal attendance patterns of Australian fur seals (Arctocephalus pusillus doriferus). Can. J.  Zool. 79: 35?48.",1,Arctocephalus_pusillus
Arctocephalus townsendi Female,Endotherm,49.000000000000000000,2.5,5,37.7,temperature taken to be similar to that for Arctocephalus galapagoensis,"Lander, M.E., F.M.D. Gulland & R.L. DeLong (2000) Satellite tracking a rehabilitated Guadalupe fur seal (Arctocephalus townsendi). Aquatic Mammals 26: 137-142.",1,Arctocephalus_townsendi
Arctocephalus tropicalis Females,Endotherm,53.500000000000000000,1.067,5.666666667,37.7,temperature taken to be similar to that for Arctocephalus galapagoensis,"Georges, J.-Y., Y. Tremblay & C. Guinet (2000) Seasonal diving behaviour in lactating subantarctic fur seals on Amsterdam Island. Polar Biol. 23: 59-69.",1,Arctocephalus_tropicalis
Aythya ferina,Endotherm,1.000000000000000000,0.14,0.271666667,42.25,temperature taken to be similar to that for Aythya genus,"Butler, P.J. & A.J.  Woakes (1979) Changes in heart rate and respiratory frequency during natural behaviour of ducks, with particular reference to diving. J. Exp. Biol. 79: 283-300.",1,Aythya_ferina
Aythya fuligula,Endotherm,0.607000000000000000,0.322,0.566666667,42.25,temperature taken to be similar to that for Aythya genus,"Butler, P.J. & A.J. Woakes (1982) Control of heart rate by carotid body chemoreceptors during diving in tufted ducks. J. Appl. Phys. 53: 1405-1410.",1,Aythya_fuligula
Aythya marila,Endotherm,1.100000000000000000,0.335,0.541666667,42.25,temperature taken to be similar to that for Aythya genus,"Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Aythya_marila
Aythya valisineria,Endotherm,1.238000000000000000,NA,0.396666667,42.25,temperature taken to be similar to that for Aythya genus,"Lovvorn, J.R. & D.R. JONES (1991) Effects of body size, body fat and change in pressure with depth on buoyancy and costs of diving in ducks. Can. J. Zool. 69: 2879-2887.; Schreer, J.F. & K.M. Kovacs (1997) Allometry of diving capacity in air-breathing vertebrates. Can. J. Zool. 75: 339-358.",1,Aythya_valisineria
Balaena mysticetus,Endotherm,79400.000000000000000000,1.4,63,33.8,"temperature from: Craighead, GJ (2009) Growth, Morphology And Energetics Of Bowhead Whales (Balaena Mysticetus). Dissertation  University of Alaska Fairbanks","Krutzikowsky, G.K. & B. Mate (2000) Dive and surfacing characteristics of bowhead whales Balaena mysticetus in the Beaufort and Chukchi seas. Can. J. Zool. 78: 1182-1198.",1,Balaena_mysticetus
Balaenoptera acutorostrata,Endotherm,7000.000000000000000000,1.102,13.43333333,34.7,"temperature from: Folkow, L. P., & Blix, A. S. (1992). Metabolic rates of minke whales (Balaenoptera acutorostrata) in cold water. Acta physiologica Scandinavica, 146(1), 141-150.","Stockin, K., R. Fairbairns, E. Parsons & D. Sims (2001) Effects of diel and seasonal cycles on the dive duration of the minke whale (Balaenoptera acutorostrata). J. Mar. Biol. Assoc. U.K. 81: 189-190.",1,Balaenoptera_acutorostrata
Balaenoptera borealis,Endotherm,23600.000000000000000000,7.5,15,36.6,temperature taken to be similar to that for Balaenoptera physalus,"Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Balaenoptera_borealis
Balaenoptera edeni,Endotherm,20400.000000000000000000,NA,20,36.6,temperature taken to be similar to that for Balaenoptera physalus,"Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Balaenoptera_edeni
Balaenoptera musculus,Endotherm,92671.000000000000000000,6.222,26.95,35.7,"temperature taken from: Morrison, P. (1962). Body temperatures in some Australian mammals. III. Cetacea (Megaptera). The Biological Bulletin, 123(1), 154-169.","Donovan, G.P. (1984) Blue whales off Peru, December 1982, with special reference to pygmy blue whales. Report of the International Whaling Commission 34: 473?476.",1,Balaenoptera_musculus
Balaenoptera physalus,Endotherm,52584.000000000000000000,2.892,20.2,36.6,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Kopelman, A.H. & S.S. Sadove (1995) Ventilatory rate differences between surface-feeding and non-surface-feeding fin whales (Balaenoptera physalus) in the waters off eastern Long Island, New York, U.S.A., 1981-1987. Mar. Mammal Sci. 11: 200-208.",1,Balaenoptera_physalus
Berardius arnuxii,Endotherm,9000.000000000000000000,46.4,153,36.12142857, temperature taken to be similar to the mean body temperature of Odontoceti,"Hobson, R.P. & A.R. Martin (1996) Behaviour and dive times of Arnoux?s beaked whales, Berardius arnuxii, at narrow leads in fast ice. Can. J. Zool. 74: 388-393.",1,Berardius_arnuxii
Berardius bairdii,Endotherm,11000.000000000000000000,19.8,67,36.12142857, temperature taken to be similar to the mean body temperature of Odontoceti,"Kasuya, T. (1986) Distribution and behavior of Baird's Beaked whales off the Pacific coast of Japan. Report of the International Whaling Commission 37: 61-83.",1,Berardius_bairdii
Brachyramphus marmoratus,Endotherm,0.216000000000000000,0.733,1.916666667,40.2, temperature taken to be similar to the mean body temperature of Alcidae,"Thoresen, A.C. (1989) Diving times and behavior of Pigeon guillemots and marbled murrelets off Rosario, Washington. Western Birds 20: 33-37.",1,Brachyramphus_marmoratus
Bucephala clangula,Endotherm,1.000000000000000000,0.2358,0.341666667,41.5,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Heintzelman, D.S. (1963) Diving Times of a Common Goldeneye. The Wilson Bulletin 75: 91.",1,Bucephala_clangula
Bucephala islandica,Endotherm,1.000000000000000000,0.39,0.583333333,41.5,temperature taken to be similar to that for Bucephala clangula,"Halsey, L.G., P.J. Butler & T.M. Blackburn (2006) A phylogenetic analysis of the allometry of diving. Am. Nat. 167: 276-287.",1,Bucephala_islandica
Callorhinus ursinus Juveniles Males,Endotherm,59.500000000000000000,1.77,9.25,37.5,"Temperature taken from: Trites, A. W. (1990). Thermal budgets and climate spaces: the impact of weather on the survival of Galapagos (Arctocephalus galapagoensis Heller) and northern fur seal pups (Callorhinus ursinus L.). Functional ecology, 753-768.","Sterling, J.T. & R.R. Ream (2004) At-sea behavior of juvenile male northern fur seals (Callorhinus ursinus). Can. J. Zool. 82: 1621-1637.",1,Callorhinus_ursinus
Caretta caretta,Ectotherm,42.130000000000000000,NA,331,15.6,,"Hochscheid S, Overwintering behaviour in sea turtles: dormancy is optional. Marine Ecology Progress Series 340:287-298. ",1,Caretta_caretta
Cepphus columba,Endotherm,0.500000000000000000,1.45,2.216666667,40.4,temperature taken to be similar to that for Cephus grille data,"Clowater, J.S. & A.E. Burger (1994) The diving behaviour of Pigeon Guillemots (Cepphus columba) off southern Vancouver Island. Can. J. Zool. 72: 863-872.",1,Cepphus_columba
Cepphus grylle,Endotherm,0.400000000000000000,1.217,2.45,40.4,"temperature value from: Clarke A, and Rothery P. 2008. Scaling of body temperature in mammals and birds. Functional Ecology 22:58-67. ","Cairns, D.K. (1992) Diving Behavior of Black Guillemots in Northeastern Hudson Bay. Colonial Waterbirds 15: 245-248.",1,Cepphus_grylle
