Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
1,Soluk 1993 ECOLOGY,Pred,2.50,,Aquatic,,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,Mean,N,24,,,1,1900.00,,6.88E+01,Original length,Order,4.96E+00,Alternate species length,Order,m^2.5 per pred per day,1,0.33,3.20E-02,1.63E-02,5.97E-02,2.05E-02,1.07E-02,3.11E-02,200,,
2,Soluk 1993 ECOLOGY,Pred,2.50,,Aquatic,,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,Mean,N,24,,,1,1900.00,,6.88E+01,Original length,Order,6.66E+00,Alternate species length,Order,m^2.5 per pred per day,2,0.26,8.74E-03,3.67E-03,3.61E-02,5.84E-02,5.45E-03,1.22E-01,200,,
3,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,Raw data,N,12,26.0,,1,19.63,,4.61E-03,Alternate species length,Family,2.05E-03,Alternate species length,Family,m^2 per pred per day,3,0.96,1.01E-02,8.91E-03,1.13E-02,2.35E-02,1.87E-02,2.72E-02,200,,
4,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,Raw data,N,12,26.0,,1,19.63,,1.70E+01,% adult mass,,2.05E-03,Alternate species length,Family,m^2 per pred per day,4,0.94,9.22E-03,7.49E-03,1.10E-02,5.59E-03,3.96E-03,6.72E-03,200,,
5,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,Raw data,N,12,26.0, ,1,19.63,,4.61E-03,Alternate species length,Family,9.42E-03,% adult mass,,m^2 per pred per day,5,0.86,8.13E-03,5.81E-03,1.10E-02,2.41E-02,1.75E-02,3.15E-02,200,,
6,Hassanpour et al 2010 INS SCI,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,Raw data,N,12,26.0,,1,19.63,,1.70E+01,% adult mass,,9.42E-03,% adult mass,,m^2 per pred per day,6,0.95,1.21E-02,1.03E-02,1.43E-02,7.52E-03,6.63E-03,8.14E-03,200,,
7,Parajulee 2006 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,Mean,N,,29.0,,1,78.54,,2.05E+01,% adult mass,,2.68E-03,Alternate species length,Family,m^2 per pred per day,7,0.83,2.35E-02,1.84E-02,2.96E-02,9.76E-03,8.09E-03,1.31E-02,200,,
8,Parajulee 2006 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,Mean,N,,29.0,,1,78.54,,1.69E+00,Alternate species length,Order,2.68E-03,Alternate species length,Family,m^2 per pred per day,8,0.70,1.80E-02,1.19E-02,2.49E-02,9.80E-03,4.93E-03,1.52E-02,200,,
9,Enkegaard et al 2001 ENTO EXP APPL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,Mean,N,23,22.0,,1,58.15,,2.24E+00,Alternate species length,Family,4.12E-04,Alternate species length,Order,m^2 per pred per day,9,0.60,5.31E-03,4.25E-03,7.28E-03,7.33E-04,4.85E-10,5.64E-03,200,,
10,Sepulveda and Carrillo 2008 REV BIO TROP,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,Mean,N,24,20.0,,1,3.14,,6.13E-02,Alternate order mass,,2.53E-02,Alternate species length,Class,m^2 per pred per day,10,0.33,2.24E-04,1.38E-04,3.42E-04,1.14E-01,6.23E-02,1.67E-01,200,,
11,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,2.11E-03,Alternate species length,Class,m^2 per pred per day,11,0.75,7.35E-03,6.22E-03,8.82E-03,3.85E-02,3.25E-02,4.48E-02,200,24 hr trial,
12,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,,,,m^2 per pred per day,12,0.79,2.54E-03,2.18E-03,3.08E-03,2.50E-02,8.72E-03,4.32E-02,200,24 hr trial,
13,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,,,,m^2 per pred per day,13,0.75,2.86E-03,2.33E-03,3.69E-03,4.03E-02,2.07E-02,5.89E-02,200,24 hr trial,
14,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,6.66E-02,Alternate species length,Class,m^2 per pred per day,14,0.60,3.35E-03,2.59E-03,4.52E-03,7.61E-02,5.27E-02,9.91E-02,200,24 hr trial,
15,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,15,0.35,1.12E-03,7.44E-04,1.92E-03,1.97E-01,7.80E-02,3.25E-01,200,24 hr trial,
16,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,2.11E-03,Alternate species length,Class,m^2 per pred per day,16,0.71,4.36E-03,3.63E-03,5.35E-03,5.71E-02,4.11E-02,7.06E-02,200,48 hr trial,
17,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,,,,m^2 per pred per day,17,0.77,2.35E-03,1.92E-03,2.85E-03,2.54E-02,7.23E-12,4.80E-02,200,48 hr trial,
18,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,,,,m^2 per pred per day,18,0.72,2.43E-03,1.90E-03,2.89E-03,7.36E-02,4.31E-02,9.95E-02,200,48 hr trial,
19,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,6.66E-02,Alternate species length,Class,m^2 per pred per day,19,0.75,1.60E-03,1.31E-03,2.06E-03,8.62E-02,5.48E-02,1.19E-01,200,48 hr trial,
20,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,20,0.44,7.03E-04,4.31E-04,1.05E-03,2.81E-01,4.14E-02,4.34E-01,200,48 hr trial,
21,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,20.0,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,21,0.41,1.10E-03,7.65E-04,1.75E-03,1.40E-01,3.23E-02,2.64E-01,200,,
22,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,25.0,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,22,0.43,1.70E-03,1.03E-03,3.22E-03,1.32E-01,4.04E-02,2.15E-01,200,,
23,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,30.0,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,23,0.49,2.46E-03,1.71E-03,3.62E-03,1.28E-01,8.32E-02,1.73E-01,200,,
24,Hoque et al 2010 UNIV J ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,Mean,N,,35.0,,1,113.10,,6.66E-02,Alternate species length,Class,7.03E-02,Alternate species length,Class,m^2 per pred per day,24,0.47,2.22E-03,1.54E-03,3.55E-03,1.10E-01,5.40E-02,1.65E-01,200,,
25,El-Basha et al 2012 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,4th instar,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,24,26.0,,1,1.77,,2.33E-01,% adult mass,,2.11E-03,Alternate species length,Class,m^2 per pred per day,25,0.24,1.82E-04,1.13E-04,3.48E-04,1.72E-02,8.40E-03,2.55E-02,200,,
26,El-Basha et al 2012 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,5th instar,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,24,26.0,,1,1.77,,,,,2.11E-03,Alternate species length,Class,m^2 per pred per day,26,0.25,2.05E-04,1.34E-04,3.10E-04,1.46E-02,7.42E-03,2.09E-02,200,,
27,El-Basha et al 2012 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult male,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,24,26.0,,1,1.77,,3.66E-01,Average genus mass,,2.11E-03,Alternate species length,Class,m^2 per pred per day,27,0.29,1.48E-04,9.89E-05,2.57E-04,1.55E-02,4.23E-03,2.58E-02,200,,
28,El-Basha et al 2012 J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,24,26.0,,1,1.77,,3.66E-01,Average genus mass,,2.11E-03,Alternate species length,Class,m^2 per pred per day,28,0.25,2.40E-04,1.58E-04,4.26E-04,1.34E-02,7.27E-03,1.97E-02,200,,
29,Rocha and Redaelli 2004 BRAZ J BIOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult female (newly emerged),Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,Raw data,N,,27.0,,1,132.73,1194.59,4.01E+02,Alternate family length,Order,2.37E+00,% adult mass,,m^2.5 per pred per day,29,0.44,5.21E-03,3.84E-03,7.85E-03,6.87E-02,5.21E-02,8.86E-02,200,,
30,Rocha and Redaelli 2004 BRAZ J BIOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult male (newly emerged),Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,Raw data,N,,27.0,,1,132.73,1194.59,4.01E+02,Alternate family length,Order,2.37E+00,% adult mass,,m^2.5 per pred per day,30,0.39,2.85E-03,1.50E-03,4.89E-03,1.05E-01,3.88E-02,1.48E-01,200,,
31,DeBlois and Leggett 1991 MAR ECOL PROG SER,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,Raw data,N,24,14.5,,,,1000.00,1.09E+01,Alternate species length,Order,,,,m^3 per pred per day,31,0.82,1.73E-06,1.20E-06,2.28E-06,2.03E-02,8.89E-03,2.79E-02,200,,
32,DeBlois and Leggett 1991 MAR ECOL PROG SER,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,Raw data,N,24,7.5,,,,1000.00,1.09E+01,Alternate species length,Order,,,,m^3 per pred per day,32,0.59,2.42E-06,1.39E-06,3.55E-06,2.99E-02,1.95E-02,4.18E-02,200,,
33,DeBlois and Leggett 1991 MAR ECOL PROG SER,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,Raw data,N,24,7.5,,,,1000.00,1.09E+01,Alternate species length,Order,,,,m^3 per pred per day,33,0.84,7.80E-07,5.93E-07,9.92E-07,6.90E-02,5.87E-02,8.08E-02,200,,
34,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,5.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,34,0.19,5.05E-05,1.51E-05,2.06E-04,9.63E-02,4.78E-10,2.10E-01,200,,
35,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,8.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,35,0.31,6.40E-05,2.52E-05,1.96E-04,5.09E-02,5.00E-03,8.13E-02,200,,
36,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,12.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,36,0.28,9.32E-05,3.43E-05,2.41E-04,3.65E-02,3.25E-03,6.03E-02,200,,
37,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,16.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,37,0.41,1.26E-04,7.65E-05,1.93E-04,2.19E-02,1.50E-02,3.10E-02,200,,
38,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,20.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,38,0.27,1.55E-04,9.34E-05,2.74E-04,2.62E-02,1.79E-02,3.57E-02,200,,
39,Thompson 1978 J ANIM ECOL,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,Mean,N,48,27.0,,1,,75.00,5.47E+01,Average species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,39,0.33,1.34E-04,7.30E-05,2.72E-04,2.16E-02,1.30E-02,3.00E-02,200,,
40,Zhang et al 2012 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,Mean,N,24,25.0,,1,63.62,,3.66E-01,Average species mass,,,,,m^2 per pred per day,40,0.50,7.81E-03,5.78E-03,1.07E-02,3.10E-02,2.01E-02,4.11E-02,200,,
41,Zhang et al 2012 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,Mean,N,24,28.0,,1,63.62,,3.66E-01,Average species mass,,,,,m^2 per pred per day,41,0.69,7.36E-03,5.85E-03,9.05E-03,1.55E-02,9.32E-03,2.14E-02,200,,
42,Zhang et al 2012 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,Mean,N,24,31.0,,1,63.62,,3.66E-01,Average species mass,,,,,m^2 per pred per day,42,0.62,8.07E-03,6.03E-03,1.15E-02,1.92E-02,1.02E-02,2.79E-02,200,,
43,Tellez et al 2009 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,Metazoan,Invertebrate,Insect,Diptera,Sciarid fly,Bradysia sp.,Adult,Mean,N,24,25.0,,1,50.30,,1.57E+00,Alternate genus length,Order,1.30E+00,Original length,Order,m^2 per pred per day,43,0.74,3.13E-03,2.59E-03,3.80E-03,4.26E-02,3.42E-02,5.39E-02,200,,
44,Tellez et al 2009 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,Metazoan,Invertebrate,Insect,Diptera,American serptentine leafminer,Liriomyza trifolii,Adult,Mean,N,24,25.0,,1,50.30,,1.57E+00,Alternate genus length,Order,5.39E-01,Original length,Order,m^2 per pred per day,44,0.75,4.62E-03,3.78E-03,5.42E-03,3.48E-02,2.67E-02,4.16E-02,200,,
45,Tellez et al 2009 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Tobacco whitefly,Bemisia tabaci,Adult,Mean,N,24,25.0,,1,50.30,,1.57E+00,Alternate genus length,Order,2.79E-02,Alternate species length,Order,m^2 per pred per day,45,0.72,4.19E-03,3.79E-03,5.07E-03,3.23E-03,3.80E-14,1.38E-02,200,,
46,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,1st instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,2.21E+00,% adult mass,,1.37E-01,Alternate species length,Order,m^2 per pred per day,46,0.02,6.94E-03,1.54E-03,9.94E-02,7.96E-01,4.91E-01,1.07E+00,200,,
47,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,2nd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,7.32E+01,% adult mass,,1.37E-01,Alternate species length,Order,m^2 per pred per day,47,0.04,9.96E-03,2.67E-03,1.54E-01,3.90E-01,2.75E-01,5.05E-01,200,,
48,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,9.31E+01,% adult mass,,1.37E-01,Alternate species length,Order,m^2 per pred per day,48,0.27,3.49E-03,1.76E-03,7.98E-03,1.43E-01,6.83E-02,2.12E-01,200,,
49,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,4th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,3.28E+02,% adult mass,,1.37E-01,Alternate species length,Order,m^2 per pred per day,49,0.15,5.10E-03,2.57E-03,1.77E-02,2.47E-01,1.75E-01,3.27E-01,200,,
50,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,5th instar,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,,,,1.37E-01,Alternate species length,Order,m^2 per pred per day,50,0.22,2.04E-03,1.04E-03,9.17E-03,1.07E-01,4.47E-10,2.66E-01,200,,
51,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,Adult male,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,4.01E+02,Alternate family length,Order,1.37E-01,Alternate species length,Order,m^2 per pred per day,51,0.24,2.03E-03,8.92E-04,4.35E-03,4.08E-01,2.24E-01,5.32E-01,200,,
52,Sahayaraj et al 2015 EUR J ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,Mean,N,12,28.0,,1,16.00,,4.01E+02,Alternate family length,Order,1.37E-01,Alternate species length,Order,m^2 per pred per day,52,0.09,3.41E-03,1.64E-03,8.72E-03,8.08E-01,6.93E-01,9.58E-01,200,,
53,Queiroz et al 2015 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Amphiareus constrictus,Adult (<5d old),Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,Mean,N,12,25.0,,1,4.91,,6.25E-01,Alternate genus length,Order,4.05E-04,Alternate species length,Order,m^2 per pred per day,53,0.85,4.61E-04,3.17E-04,6.68E-04,3.14E-02,1.52E-02,4.67E-02,200,,
54,Queiroz et al 2015 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Blaptostethus pallescens,Adult (<5d old),Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,Mean,N,12,25.0,,1,4.91,,3.86E-01,Alternate species length,Order,4.05E-04,Alternate species length,Order,m^2 per pred per day,54,0.92,4.90E-04,3.69E-04,6.50E-04,1.81E-02,8.70E-03,2.98E-02,200,,
55,Queiroz et al 2015 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius tristicolor,Adult (<5d old),Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,Mean,N,12,25.0,,1,4.91,,8.17E-01,Alternate species length,Order,4.05E-04,Alternate species length,Order,m^2 per pred per day,55,0.78,5.33E-04,3.41E-04,8.66E-04,4.45E-02,2.77E-02,6.60E-02,200,,
56,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,1st instar,Raw data,N,,25.0,,1,38.48,769.69,1.56E+01,Alternate family length,Family,1.18E-02,% adult mass,,m^2.5 per pred per day,56,0.89,4.28E-02,3.76E-02,4.82E-02,1.19E-02,6.94E-03,1.59E-02,200,,
57,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,2nd instar,Raw data,N,,25.0,,1,38.48,769.69,1.56E+01,Alternate family length,Family,8.53E-01,% adult mass,,m^2.5 per pred per day,57,0.90,3.91E-02,3.33E-02,4.47E-02,9.61E-03,4.68E-03,1.38E-02,200,,
