"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Oithona_colcarva","Animalia","Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona colcarva",FALSE,"GBIF","Oithona","Oithona colcarva",99,"ACCEPTED","Oithonidae","Cyclopoida","5166641"
"Oithona_helgolandica","Animalia","Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona helgolandica",TRUE,"GBIF","Oithona","Oithona similis",98,"SYNONYM","Oithonidae","Cyclopoida","5166629"
"Oligoplites_saliens","Animalia","Chordata",NA,"Perciformes","Carangidae","Oligoplites saliens",FALSE,"GBIF","Oligoplites","Oligoplites saliens",99,"ACCEPTED","Carangidae","Perciformes","2390627"
"Ophiocomina_nigra","Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiotomidae","Ophiocomina nigra",FALSE,"GBIF","Ophiocomina","Ophiocomina nigra",99,"ACCEPTED","Ophiotomidae","Ophiacanthida","2275361"
"Opsanus_pardus","Animalia","Chordata",NA,"Batrachoidiformes","Batrachoididae","Opsanus pardus",FALSE,"GBIF","Opsanus","Opsanus pardus",99,"ACCEPTED","Batrachoididae","Batrachoidiformes","2350906"
"Opsariichthys_pachycephalus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Opsariichthys pachycephalus",FALSE,"GBIF","Opsariichthys","Opsariichthys pachycephalus",99,"ACCEPTED","Cyprinidae","Cypriniformes","2365497"
"Orius_sauteri","Animalia","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius sauteri",FALSE,"GBIF","Orius","Orius sauteri",99,"ACCEPTED","Anthocoridae","Hemiptera","9939451"
"Ornitnonyssus_bursa","Animalia","Arthropoda","Arachnida","Mesostigmata","Macronyssidae","Ornitnonyssus bursa",TRUE,"GBIF","Ornithonyssus","Ornithonyssus bursa",85,"ACCEPTED","Macronyssidae","Mesostigmata","2188210"
"Orthonopias_triacis","Animalia","Chordata",NA,"Scorpaeniformes","Cottidae","Orthonopias triacis",FALSE,"GBIF","Orthonopias","Orthonopias triacis",99,"ACCEPTED","Cottidae","Scorpaeniformes","2333856"
"Parablennius_parvicornis","Animalia","Chordata",NA,"Perciformes","Blenniidae","Parablennius parvicornis",FALSE,"GBIF","Parablennius","Parablennius parvicornis",99,"ACCEPTED","Blenniidae","Perciformes","2395781"
"Paralithodes_platypus","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes platypus",FALSE,"GBIF","Paralithodes","Paralithodes platypus",99,"ACCEPTED","Lithodidae","Decapoda","2224357"
"Paraphimophis_rusticus","Animalia","Chordata","Squamata","Squamata","Colubridae","Paraphimophis rusticus",FALSE,"GBIF","Paraphimophis","Paraphimophis rusticus",99,"ACCEPTED","Colubridae",NA,"9590632"
"Pectinophora_gossypiella","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Pectinophora gossypiella",FALSE,"GBIF","Pectinophora","Pectinophora gossypiella",99,"ACCEPTED","Gelechiidae","Lepidoptera","5121979"
"Pelagia_noctiluca","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Pelagia noctiluca",FALSE,"GBIF","Pelagia","Pelagia noctiluca",99,"ACCEPTED","Pelagiidae","Semaeostomeae","2264423"
"Phallusia_nigra","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Phallusia nigra",FALSE,"GBIF","Phallusia","Phallusia nigra",99,"ACCEPTED","Ascidiidae","Phlebobranchia","2330558"
"Phalotris_mertensi","Animalia","Chordata","Squamata","Squamata","Colubridae","Phalotris mertensi",FALSE,"GBIF","Phalotris","Phalotris mertensi",99,"ACCEPTED","Colubridae",NA,"2452384"
"Phascolion_strombi","Animalia","Sipuncula","Sipunculidea","Golfingiiformes","Phascoliidae","Phascolion strombi",TRUE,"GBIF","Phascolion","Phascolion strombus",98,"SYNONYM","Phascoliidae","Golfingiiformes","2509478"
"Phoebis_agarithe","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Phoebis agarithe",FALSE,"GBIF","Phoebis","Phoebis agarithe",99,"ACCEPTED","Pieridae","Lepidoptera","1919652"
"Pholis_clemensi","Animalia","Chordata",NA,"Perciformes","Pholidae","Pholis clemensi",FALSE,"GBIF","Pholis","Pholis clemensi",99,"ACCEPTED","Pholidae","Perciformes","5210431"
"Pirimela_denticulata","Animalia","Arthropoda","Malacostraca","Decapoda","Pirimelidae","Pirimela denticulata",FALSE,"GBIF","Pirimela","Pirimela denticulata",99,"ACCEPTED","Pirimelidae","Decapoda","2222057"
"Platydoras_armatulus","Animalia","Chordata","Actinopterygii","Siluriformes","Doradidae","Platydoras armatulus",FALSE,"GBIF","Platydoras","Platydoras armatulus",99,"ACCEPTED","Doradidae","Siluriformes","2343888"
"Pleurodeles_poireti","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Pleurodeles poireti",FALSE,"GBIF","Pleurodeles","Pleurodeles poireti",99,"ACCEPTED","Salamandridae","Caudata","2431873"
"Pleuroxus_denticulatis","Animalia","Arthropoda","Branchiopoda","Diplostraca","Chydoridae","Pleuroxus denticulatis",TRUE,"GBIF","Picripleuroxus","Picripleuroxus denticulatus",96,"SYNONYM","Chydoridae","Diplostraca","2235038"
"Polyeunoa_laevis","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Polyeunoa laevis",FALSE,"GBIF","Polyeunoa","Polyeunoa laevis",99,"ACCEPTED","Polynoidae","Phyllodocida","2314291"
"Prionotus_scitulus","Animalia","Chordata",NA,"Scorpaeniformes","Triglidae","Prionotus scitulus",FALSE,"GBIF","Prionotus","Prionotus scitulus",99,"ACCEPTED","Triglidae","Scorpaeniformes","7677037"
"Prochilodus_scrofa","Animalia","Chordata",NA,"Characiformes","Prochilodontidae","Prochilodus scrofa",TRUE,"GBIF","Prochilodus","Prochilodus lineatus",98,"SYNONYM","Prochilodontidae","Characiformes","2352157"
"Psenes_pellucidus","Animalia","Chordata","Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus",FALSE,"GBIF","Psenes","Psenes pellucidus",99,"ACCEPTED","Nomeidae","Perciformes","2381861"
"Psilorhynchus_homaloptera","Animalia","Chordata","Actinopterygii","Cypriniformes","Psilorhynchidae","Psilorhynchus homaloptera",FALSE,"GBIF","Psilorhynchus","Psilorhynchus homaloptera",99,"ACCEPTED","Psilorhynchidae","Cypriniformes","5205397"
"Psittinus_cyanurus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Psittinus cyanurus",FALSE,"GBIF","Psittinus","Psittinus cyanurus",99,"ACCEPTED","Psittacidae","Psittaciformes","2479524"
"Pyura_chilensis","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Pyura chilensis",FALSE,"GBIF","Pyura","Pyura chilensis",99,"ACCEPTED","Pyuridae","Stolidobranchia","2331862"
"Rana_cyanophlyctis","Animalia","Chordata","Amphibia","Anura","Dicroglossidae","Rana cyanophlyctis",TRUE,"GBIF","Euphlyctis","Euphlyctis cyanophlyctis",98,"SYNONYM","Dicroglossidae","Anura","4816985"
"Rhinogobius_brunneus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobius brunneus",FALSE,"GBIF","Rhinogobius","Rhinogobius brunneus",99,"ACCEPTED","Gobiidae","Perciformes","2377583"
"Rhopilema_verrilli","Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Rhizostomatidae","Rhopilema verrilli",FALSE,"GBIF","Rhopilema","Rhopilema verrilli",99,"ACCEPTED","Rhizostomatidae","Rhizostomeae","2264592"
"Rhyzopertha_dominica","Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","Rhyzopertha dominica",FALSE,"GBIF","Rhyzopertha","Rhyzopertha dominica",99,"ACCEPTED","Bostrichidae","Coleoptera","1095716"
"Sclerocrangon_boreas","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Sclerocrangon boreas",FALSE,"GBIF","Sclerocrangon","Sclerocrangon boreas",99,"ACCEPTED","Crangonidae","Decapoda","2222104"
"Scorpaena_pascuensis","Animalia","Chordata",NA,"Scorpaeniformes","Scorpaenidae","Scorpaena pascuensis",FALSE,"GBIF","Scorpaena","Scorpaena pascuensis",99,"ACCEPTED","Scorpaenidae","Scorpaeniformes","2334616"
"Sebastes_atrovirens","Animalia","Chordata",NA,"Scorpaeniformes","Sebastidae","Sebastes atrovirens",FALSE,"GBIF","Sebastes","Sebastes atrovirens",99,"ACCEPTED","Sebastidae","Scorpaeniformes","2335410"
"Sebastes_itinus","Animalia","Chordata",NA,"Scorpaeniformes","Sebastidae","Sebastes itinus",FALSE,"GBIF","Sebastes","Sebastes itinus",99,"ACCEPTED","Sebastidae","Scorpaeniformes","2335384"
"Securicula_gora","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","Securicula gora",FALSE,"GBIF","Securicula","Securicula gora",99,"ACCEPTED","Cyprinidae","Cypriniformes","2367601"
"Sinomegaceros_ordosianus","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Sinomegaceros ordosianus",FALSE,NA,"Sinomegaceros",NA,92,"PROVISIONALLY_ACCEPTED","Cervidae","Artiodactyla","11229060"
"Sitotroga_cerealella","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Sitotroga cerealella",FALSE,"GBIF","Sitotroga","Sitotroga cerealella",99,"ACCEPTED","Gelechiidae","Lepidoptera","1849209"
"Synodus_lacertinus","Animalia","Chordata",NA,"Aulopiformes","Synodontidae","Synodus lacertinus",FALSE,"GBIF","Synodus","Synodus lacertinus",99,"ACCEPTED","Synodontidae","Aulopiformes","5212676"
"Thalassoma_pavo","Animalia","Chordata",NA,"Perciformes","Labridae","Thalassoma pavo",FALSE,"GBIF","Thalassoma","Thalassoma pavo",99,"ACCEPTED","Labridae","Perciformes","2384491"
"Tilapia_sparrmanii","Animalia","Chordata",NA,"Perciformes","Cichlidae","Tilapia sparrmanii",FALSE,"GBIF","Tilapia","Tilapia sparrmanii",99,"ACCEPTED","Cichlidae","Perciformes","2370591"
"Tor_barakae","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Tor barakae",FALSE,"GBIF","Tor","Tor barakae",99,"ACCEPTED","Cyprinidae","Cypriniformes","2364509"
"Triconia_borealis","Animalia","Arthropoda","Copepoda","Cyclopoida","Oncaeidae","Triconia borealis",FALSE,"GBIF","Triconia","Triconia borealis",99,"ACCEPTED","Oncaeidae","Cyclopoida","4322171"
"Tritogonia_verrucosa","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Tritogonia verrucosa",FALSE,"GBIF","Tritogonia","Tritogonia verrucosa",99,"ACCEPTED","Unionidae","Unionida","2288382"
"Trophon_clathratus","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Trophon clathratus",FALSE,NA,NA,NA,97,"ACCEPTED","Muricidae","Neogastropoda","2304120"
"Tropidonophis_dolasii","Animalia","Chordata","Squamata","Squamata","Colubridae","Tropidonophis dolasii",FALSE,"GBIF","Tropidonophis","Tropidonophis dolasii",99,"ACCEPTED","Colubridae",NA,"2453982"
"Tuta_absoluta","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Tuta absoluta",TRUE,"GBIF","Phthorimaea","Phthorimaea absoluta",98,"SYNONYM","Gelechiidae","Lepidoptera","4528099"
"Typhlops_jamaicensis","Animalia","Chordata","Squamata","Squamata","Typhlopidae","Typhlops jamaicensis",FALSE,"GBIF","Typhlops","Typhlops jamaicensis",99,"ACCEPTED","Typhlopidae",NA,"2471310"
"Vipera_shemakhensis","Animalia","Chordata","Squamata","Squamata","Viperidae","Vipera shemakhensis",TRUE,"GBIF","Vipera","Vipera eriwanensis",98,"SYNONYM","Viperidae",NA,"9631060"
"Xantho_incisus","Animalia","Arthropoda","Malacostraca","Decapoda","Xanthidae","Xantho incisus",TRUE,"GBIF","Xantho","Xantho hydrophilus",97,"SYNONYM","Xanthidae","Decapoda","11041739"
"Xantho_pilipes","Animalia","Arthropoda","Malacostraca","Decapoda","Xanthidae","Xantho pilipes",FALSE,"GBIF","Xantho","Xantho pilipes",99,"ACCEPTED","Xanthidae","Decapoda","5178773"
