"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Crotalus_unicolor","Animalia","Chordata","Squamata",NA,"Viperidae","Crotalus unicolor",FALSE,"GBIF","Crotalus","Crotalus unicolor",99,"ACCEPTED","Viperidae",NA,"2444438"
"Culter_alburnus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Culter alburnus",FALSE,"GBIF","Culter","Culter alburnus",99,"ACCEPTED","Cyprinidae","Cypriniformes","2367642"
"Dactyloptena_tiltoni","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena tiltoni",FALSE,"GBIF","Dactyloptena","Dactyloptena tiltoni",99,"ACCEPTED","Dactylopteridae","Scorpaeniformes","2333580"
"Danaus_plexippus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus plexippus",FALSE,"GBIF","Danaus","Danaus plexippus",99,"ACCEPTED","Nymphalidae","Lepidoptera","5133088"
"Dasypeltis_abyssina","Animalia","Chordata","Squamata","Squamata","Colubridae","Dasypeltis abyssina",FALSE,"GBIF","Dasypeltis","Dasypeltis abyssina",99,"ACCEPTED","Colubridae",NA,"7537105"
"Dipturus_trachyderma","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus trachyderma",FALSE,"GBIF","Dipturus","Dipturus trachyderma",99,"ACCEPTED","Rajidae","Rajiformes","2420193"
"Echinorhinus_brucus","Animalia","Chordata","Elasmobranchii","Squaliformes","Echinorhinidae","Echinorhinus brucus",FALSE,"GBIF","Echinorhinus","Echinorhinus brucus",99,"ACCEPTED","Echinorhinidae","Squaliformes","2421209"
"Ectomyelois_ceratoniae","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Ectomyelois ceratoniae",FALSE,"GBIF","Ectomyelois","Ectomyelois ceratoniae",99,"ACCEPTED","Pyralidae","Lepidoptera","5884888"
"Eirenis_persicus","Animalia","Chordata","Squamata","Squamata","Colubridae","Eirenis persicus",FALSE,"GBIF","Eirenis","Eirenis persicus",99,"ACCEPTED","Colubridae",NA,"8124270"
"Elephantulus_fuscus","Animalia","Chordata","Mammalia","Macroscelidea","Macroscelididae","Elephantulus fuscus",FALSE,"GBIF","Elephantulus","Elephantulus fuscus",99,"ACCEPTED","Macroscelididae","Macroscelidea","2440846"
"Eleutherodactylus_cubanus","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus cubanus",FALSE,"GBIF","Eleutherodactylus","Eleutherodactylus cubanus",99,"ACCEPTED","Eleutherodactylidae","Anura","2424101"
"Enhydris_innominata","Animalia","Chordata","Squamata","Squamata","Homalopsidae","Enhydris innominata",FALSE,"GBIF","Enhydris","Enhydris innominata",99,"ACCEPTED","Homalopsidae",NA,"5224387"
"Enithares_sobria","Animalia","Arthropoda","Insecta","Hemiptera","Notonectidae","Enithares sobria",FALSE,"GBIF","Enithares","Enithares sobria",99,"ACCEPTED","Notonectidae","Hemiptera","10355150"
