Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Calanidae,Calanus hyperboreus,,3.9,0.68,0.0085,-0.3,0.00268,0.0670,68.6,Ikeda & Skjoldal 1989,0.0085
I,Copepoda,Calanidae,Calanus pacificus,MIN,8.3190,4.778,0.000513,17,0.00009,82.5,,Ikeda 1970,0.000513
I,Copepoda,Calanidae,Calanus propinquus,MIN,1.6631,0.294,0.004718,0,0.00101,78.5,,Kawall et al. 2001,0.004718
I,Copepoda,Calanidae,Calanus propinquus,,5.4,0.89,0.0042,-1,0.000847,0.123,80,Ikeda & Mitchell 1982,0.0042
I,Copepoda,Calanidae,Calanus propinquus,,7.0936,1.17,0.0056,-1,0.00104,0.125,81.4,Ikeda 1988,0.0056
I,Copepoda,Calanidae,Calanus propinquus,,7.6,1.26,0.0052,-1,0.00104,0.125,80,Ikeda & Mitchell 1982,0.0052
I,Copepoda,Calanidae,Calanus tonsus,MIN,13.2049,2.178,0.001,-1,0.0002,90,,Opalinski 1991,0.001
I,Copepoda,Calanidae,Calanus vulgaris,MIN,16.6955,23.611,0.00106,30,0.00022,79.2,,Ikeda 1970,0.00106
I,Copepoda,Candaciidae,Candacia aethiopica,MIN,16.4076,21.278,0.00046,28.75,0.000065,85.9,,Ikeda 1970,0.00046
I,Copepoda,Candaciidae,Candacia columbiae,MIN,0.7091,0.194,0.00367,6.3,0.00042,88.6,,Ikeda 1970,0.00367
I,Copepoda,Candaciidae,Candacia columbiae,,1.9341,0.544,0.00312,6.7,0.0006,80.8,,Ikeda 1970,0.00312
I,Copepoda,Candaciidae,Candacia sp.,MIN,20.4300,10.215,0.000155,15,0.000031,80,,Nival et al. 1972,0.000155
I,Copepoda,Centropaidae,Centropages abdominaris,MIN,10.5227,5.6,0.000085,15.9,0.000017,80,,Ikeda et al. 2001,0.000085
I,Copepoda,Centropaidae,Centropages brachiatus,MIN,13.4364,6.4,0.0001,14.3,0.00002,80,,Ikeda et al. 2001,0.0001
I,Copepoda,Centropaidae,Centropages kroyeri,MIN,9.4,6.7,0.000039,20,,,,Pavlova 1961,0.000039
I,Copepoda,Centropaidae,Centropages trispinosus,MIN,34.6199,24.48,0.000066,20,,,,Rajagopal 1962,0.000066
I,Copepoda,Centropaidae,Centropages trispinosus,,35.5964,46.97,0.000066,29,0.000013,80.4,,Rajagopal 1962,0.000066
I,Copepoda,Clausocalanidae,Clausocalanus furcatus,MIN,20.844,14.739,0.000019,20,,,,Pavlova 1975,0.000019
I,Copepoda,Halocyprididae,Conchoecia sp.,MIN,17.709,12.522,0.000045,20,,,,Pavlova 1975,0.000045
I,Copepoda,Corycaeidae,Corycaeus typicus,MIN,7.7660,3.883,0.0000515,15,0.0000103,80,,Nival et al. 1972,0.0000515
I,Copepoda,Heterorhabdidae,Disseta grandis,MIN,0.692,0.173,0.0114,5,,,,Thuesen et al. 1998,0.0114
I,Copepoda,Heterorhabdidae,Disseta scopularis,MIN,0.332,0.083,0.0195,5,,,,Thuesen et al. 1998,0.0195
I,Copepoda,Heterorhabdidae,Disseta scopularis,,0.693,0.136,0.0257,1.5,,,,Thuesen et al. 1998,0.0257
I,Copepoda,Aetideidae,Euatideus giesbrechti,MIN,5.940,4.200,0.000215,20,,,,Pavlova 1975,0.000215
I,Copepoda,Augauptilidae,Euaugaptilus antarcticus,MIN,0.512,0.128,0.0225,5,,,,Thuesen et al. 1998,0.0225
I,Copepoda,Augauptilidae,Euaugaptilus magnus,MIN,0.288,0.072,0.0309,5,,,,Thuesen et al. 1998,0.0309
I,Copepoda,Augauptilidae,Euaugaptilus nodifrons,MIN,0.280,0.070,0.0597,5,,,,Thuesen et al. 1998,0.0597
I,Copepoda,Eucalanidae,Eucalanus attenuatus,MIN,2.3980,1.199,0.001389,15,0.00025,82,,Nival et al. 1972,0.001389
I,Copepoda,Eucalanidae,Eucalanus attenuatus,,6.2151,7.34,0.000685,27.4,0.000137,80,,Ikeda et al. 2001,0.000685
I,Copepoda,Eucalanidae,Eucalanus bungii,MIN,1.8496,0.506,0.00822,6.3,0.00093,88.7,,Ikeda 1970,0.00822
I,Copepoda,Eucalanidae,Eucalanus bungii,,2.2367,0.589,0.00807,5.75,0.00081,90,,Ikeda 1970,0.00807
I,Copepoda,Eucalanidae,Eucalanus bungii,,3.2470,0.87,0.005,6,0.00101,80,,Ikeda et al. 2001,0.005
I,Copepoda,Eucalanidae,Eucalanus crassus,MIN,10.8093,15.500,0.00207,30.2,0.00036,82.6,,Ikeda 1970,0.00207
I,Copepoda,Eucalanidae,Eucalanus elongatus,MIN,1.870,1.322,0.001786,20,,,,Pavlova 1975,0.001786
I,Copepoda,Eucalanidae,Eucalanus elongatus,,5.2060,2.603,0.00054,15,0.000108,80,,Nival et al. 1972,0.00054
I,Copepoda,Eucalanidae,Eucalanus marina,MIN,8.4832,10.444,0.00143,28,0.000234,83.7,,Ikeda 1970,0.00143
I,Copepoda,Eucalanidae,Eucalanus marina,,11.6954,15.167,0.00082,28.75,0.000119,85.5,,Ikeda 1970,0.00082
I,Copepoda,Eucalanidae,Eucalanus monachus,MIN,16.8143,24.111,0.00145,30.2,0.00022,79.2,,Ikeda 1970,0.00145
I,Copepoda,Eucalanidae,Eucalanus mucronatus,MIN,3.8106,5.389,0.00072,30,0.00018,80.6,,Ikeda 1970,0.00072
I,Copepoda,Eucalanidae,Eucalanus subcrassus,MIN,7.5024,7.0,0.00052,24,0.000104,80,,Ikeda et al. 2001,0.00052
I,Copepoda,Eucalanidae,Eucalanus subcrassus,,18.2278,12.89,0.000191,20,,,,Rajagopal 1962,0.000191
I,Copepoda,Eucalanidae,Eucalanus subcrassus,,19.0457,25.13,0.000191,29,0.0000375,80.4,,Rajagopal 1962,0.000191
