Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Metridinidae,Pleuromamma gracilis,,11.2580,5.629,0.0001875,15,0.0000375,80,,Nival et al. 1972,0.0001875
I,Copepoda,Metridinidae,Pleuromamma robusta,MIN,7.1,2.5,0.0014,8,0.000283,80,,Conover 1960,0.0014
I,Copepoda,Metridinidae,Pleuromamma robusta,,10.1,3.1,0.0014,8,0.000283,80,,Conover 1960,0.0014
I,Copepoda,Pontellidae,Pontella danae,MIN,4.9369,5.44,0.0035,26.4,0.0007,80,,Ikeda et al. 2001,0.0035
I,Copepoda,Pontellidae,Pontella sp.,MIN,11.5880,5.794,0.000345,15,0.000069,80,,Nival et al. 1972,0.000345
I,Copepoda,Pseudocalanidae,Pseudocalanus elongatus,MIN,8.6,6.1,0.000059,20,,,,Pavlova 1961,0.000059
I,Copepoda,Pseudocalanidae,Pseudocalanus elongatus,,11.5316,3.7,0.00006,8.6,0.000012,80,,Ikeda et al. 2001,0.00006
I,Copepoda,Pseudocalanidae,Pseudocalanus elongatus,,17.2086,6.589,0.00004,11.15,0.0000012,70,,Ikeda 1970,0.00004
I,Copepoda,Lucicitiidae,Pseudochirella polyspina,MIN,0.856,0.214,0.0117,5,,,,Thuesen et al. 1998,0.0117
I,Copepoda,Pseudodiaptomidae,Pseudodiaptomus marinus,MIN,9.2375,4.4,0.00007,14.3,0.000014,80,,Ikeda et al. 2001,0.00007
I,Copepoda,Eucalanidae,Rhincalanus gigas,MIN,0.5657,0.100,0.011692,0,0.00157,86.6,,Kawall et al. 2001,0.011692
I,Copepoda,Eucalanidae,Rhincalanus gigas,,2.8639,0.45,0.009,-1.7,0.00180,80,,Ikeda et al. 2001,0.009
I,Copepoda,Eucalanidae,Rhincalanus nasutus,MIN,0.5091,0.3600,0.024,20,,,,Opalinski 1991,0.024
I,Copepoda,Eucalanidae,Rhincalanus nasutus,,1.4281,1.0098,0.009,20,,,,Opalinski 1991,0.009
I,Copepoda,Eucalanidae,Rhincalanus nasutus,,1.4651,1.0360,0.015,20,,,,Opalinski 1991,0.015
I,Copepoda,Eucalanidae,Rhincalanus nasutus,,2.38,0.66,0.0054,6.5,0.001079,80,,Conover 1960,0.0054
I,Copepoda,Eucalanidae,Rhincalanus nasutus,,2.46,0.68,0.0051,6.5,0.001019,80,,Conover 1960,0.0051
I,Copepoda,Eucalanidae,Rhincalanus nasutus,,2.63,0.73,0.00413,6.5,0.000826,80,,Conover 1960,0.00413
I,Copepoda,Sapphirinidae,Sapphirina gemma,MIN,7.5786,10.000,0.00071,29,0.00007,90.1,,Ikeda 1970,0.00071
I,Copepoda,Sapphirinidae,Sapphirina gemma,,29.9735,42.389,0.001,30,0.00008,92,,Ikeda 1970,0.001
I,Copepoda,Scolecithrichidae,Scolecithrix danae,MIN,3.080,2.178,0.00300,20,,,,Pavlova 1975,0.00300
I,Copepoda,Temoridae,Temora longicornis,MIN,36.6506,48.36,0.000061,29,0.000012,80.4,,Rajagopal 1962,0.000061
I,Copepoda,Tortanidae,Tortanus discaudatus,MIN,8.1484,2.34,0.000285,7,0.000057,80,,Ikeda et al. 2001,0.000285
I,Copepoda,Tortanidae,Tortanus discaudatus,,16.5565,6.3393,0.0002,11.15,0.00005,75,,Ikeda 1970,0.0002
I,Copepoda,Tortanidae,Tortanus gracilis,MIN,6.1767,6.62,0.00012,26,0.000024,80,,Ikeda et al. 2001,0.00012
I,Copepoda,Calanidae,Undinula vulgaris,MIN,6.4355,5.80,0.000925,23.5,0.000185,80,,Ikeda et al. 2001,0.000925
I,Copepoda,Calanidae,Undinula vulgaris,,7.7663,9.3,0.000838,27.6,0.000167,80,,Ikeda et al. 2001,0.000838
I,Calanoida,Euchaetidae,Valdiviella oligartha,MIN,0.752,0.188,0.0194,5,,,,Thuesen et al. 1998,0.0194
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,MIN,1.8213,0.311,0.05,-0.5,0.01,80,,Opalinski 1991,0.05
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,3.4145,0.544,0.09,-1.5,0.018,80,,Opalinski 1991,0.09
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,3.6714,0.589,0.03,-1.4,0.006,80,,Opalinski 1991,0.03
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,4.1750,0.656,0.211,-1.7,0.047,78,,Opalinski 1991,0.211
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,4.3468,0.683,0.079,-1.7,0.017,78.5,,Opalinski 1991,0.079
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,5.3396,0.839,0.249,-1.7,0.05,80,,Opalinski 1991,0.249
I,Euphausiacea,Euphausiidae,Euphausia crystallorophias,,6.8025,1.122,0.053,-1,0.011,79.3,,Opalinski 1991,0.053
I,Euphausiacea,Euphausiidae,Euphausia mutica,MIN,14.5222,18.833,0.00326,28.75,0.00042,87.1,,Ikeda 1970,0.00326
I,Euphausiacea,Euphausiidae,Euphausia pacifica,MIN,1.3378,0.473,0.0338,10,0.0070,0.123,79.4,Childress 1975,0.0338
I,Euphausiacea,Euphausiidae,Euphausia pacifica,,4.5504,2.650,0.0177,17.2,0.0033,81.4,,Ikeda 1970,0.0177
I,Euphausiacea,Euphausiidae,Euphausia pacifica,,9.1754,3.244,0.0338,10,0.0070,0.123,79.4,Childress 1975,0.0338
I,Euphausiacea,Euphausiidae,Euphausia superba,MIN,2.9102,0.48,1.43,-1.0,0.35378,0.103,75.3,Ikeda 1988,1.43
I,Euphausiacea,Euphausiidae,Euphausia superba,,3.0647,0.502,0.145,-1.1,0.02703,0.110,81.4,Ikeda 1988,0.145
I,Euphausiacea,Euphausiidae,Euphausia superba,,3.0647,0.502,1.01,-1.1,0.23768,0.102,76.4,Ikeda 1988,1.01
I,Euphausiacea,Euphausiidae,Euphausia superba,,3.1197,0.511,0.369,-1.1,0.07677,0.102,79.2,Ikeda 1988,0.369
I,Euphausiacea,Euphausiidae,Euphausia superba,,3.2051,0.525,0.616,-1.1,0.14286,0.099,76.8,Ikeda 1988,0.616
I,Euphausiacea,Euphausiidae,Euphausia tricantha,MIN,2.4718,0.44,0.32,0.1,0.08283,0.107,74.1,Ikeda 1988,0.32
I,Euphausiacea,Euphausiidae,Thysanoessa inermis,MIN,1.2,1.004,0.017,0.1,0.00457,0.1004,74.1,Ikeda & Skjoldal 1989,0.017
I,Euphausiacea,Euphausiidae,Thysanoessa inermis,,3.5,0.71,0.108,1.9,0.03478,0.0744,67.8,Ikeda & Skjoldal 1989,0.108
I,Euphausiacea,Euphausiidae,Thysanoessa inermis,,5.8987,2.306,0.00801,11.45,0.00119,85.1,,Ikeda 1970,0.00801
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,MIN,0.9780,0.167,0.05,-0.5,0.01,80,,Opalinski 1991,0.05
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.0189,0.333,0.006,-1,0.001,83,,Opalinski 1991,0.006
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.0856,0.344,0.009,-1,0.002,78,,Opalinski 1991,0.009
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.1556,0.400,0.05,0.7,0.01,80,,Opalinski 1991,0.05
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.7287,0.517,0.09,1,0.019,79,,Opalinski 1991,0.09
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.8344,0.600,0.034,2.6,0.007,79.4,,Opalinski 1991,0.034
I,Euphausiacea,Euphausiidae,Thysanoessa macrura,,2.9926,0.511,0.05,-0.5,0.01,80,,Opalinski 1991,0.05
I,Euphausiacea,Euphausiidae,Thysanoessa raschii,MIN,3.0116,0.850,0.107,6.75,0.0185,82.7,,Ikeda 1970,0.107
I,Euphausiacea,Euphausiidae,Thysanoessa raschii,,3.8371,1.083,0.108,6.75,0.0175,83.4,,Ikeda 1970,0.108
I,Euphausiacea,Euphausiidae,Thysanoessa raschii,,4.5829,1.289,0.0466,6.7,0.008,82.8,,Ikeda 1970,0.0466
I,Euphausiacea,Euphausiidae,Thysanopoda cornuta,MIN,0.8400,0.21,5.88,5,,,,Cowles et al. 1991,5.88
I,Branchiopoda,Daphnidae,Daphnia ambigua,MIN,9.6225,6.006,0.0000197,18.2,0.00000387,80.4,,Armitage & Lei 1979,0.0000197
I,Branchiopoda,Daphnidae,Daphnia ambigua,,13.045,11.278,0.000019,22.9,80.4,,,Armitage & Lei 1979,0.000019
I,Branchiopoda,Daphnidae,Daphnia ambigua,,13.050,11.283,0.000019,22.9,0.00000372,80.4,,Armitage & Lei 1979,0.000019
I,Branchiopoda,Daphnidae,Daphnia ambigua,,13.643,15.244,0.0000184,26.6,0.00000362,80.4,,Armitage & Lei 1979,0.0000184
I,Branchiopoda,Daphnidae,Daphnia ambigua,,13.918,12.033,0.0000308,22.9,0.00000573,80.4,,Armitage & Lei 1979,0.0000308
I,Branchiopoda,Daphnidae,Daphnia ambigua,,14.041,12.139,0.0000178,22.9,0.00000349,80.4,,Armitage & Lei 1979,0.0000178
I,Branchiopoda,Daphnidae,Daphnia ambigua,,14.368,12.422,0.0000287,22.9,0.00000563,80.4,,Armitage & Lei 1979,0.0000287
I,Branchiopoda,Daphnidae,Daphnia ambigua,,16.573,14.328,0.0000221,22.9,0.00000434,80.4,,Armitage & Lei 1979,0.0000221
I,Branchiopoda,Daphnidae,Daphnia ambigua,,16.759,14.489,0.0000265,22.9,0.00000520,80.4,,Armitage & Lei 1979,0.0000265
I,Branchiopoda,Daphnidae,Daphnia ambigua,,17.196,14.867,0.0000136,22.9,0.00000266,80.4,,Armitage & Lei 1979,0.0000136
I,Branchiopoda,Daphnidae,Daphnia ambigua,,17.775,7.900,0.0000251,13.3,0.0000049,80.4,,Armitage & Lei 1979,0.0000251
I,Branchiopoda,Daphnidae,Daphnia ambigua,,25.254,21.833,0.00000893,22.9,0.00000175,80.4,,Armitage & Lei 1979,0.00000893
I,Branchiopoda,Daphnidae,Daphnia ambigua,,26.435,7.333,0.0000047,6.5,,,,Armitage & Lei 1979,0.0000047
I,Branchiopoda,Daphnidae,Daphnia ambigua,,26.597,7.378,0.0000258,6.5,0.00000507,80.4,,Armitage & Lei 1979,0.0000258
I,Branchiopoda,Daphnidae,Daphnia ambigua,,29.620,10.400,0.0000267,9.9,0.00000524,80.4,,Armitage & Lei 1979,0.0000267
I,Branchiopoda,Daphnidae,Daphnia ambigua,,31.320,27.078,0.00000597,22.9,0.00000117,80.4,,Armitage & Lei 1979,0.00000597
I,Branchiopoda,Daphnidae,Daphnia ambigua,,32.898,12.728,0.0000254,11.3,0.00000498,80.4,,Armitage & Lei 1979,0.0000254
I,Branchiopoda,Daphnidae,Daphnia ambigua,,33.608,29.056,0.00000587,22.9,0.00000150,80.4,,Armitage & Lei 1979,0.00000587
I,Branchiopoda,Daphnidae,Daphnia magma,MIN,26.713,18.889,0.00015,20,,,,Schindler 1968,0.00015
I,Branchiopoda,Daphnidae,Daphnia magma,,28.288,7.072,0.000146,5,,,,Goss & Bunting 1980,0.000146
I,Branchiopoda,Daphnidae,Daphnia magma,,29.855,21.111,0.0001,20,,,,Schindler 1968,0.0001
I,Branchiopoda,Daphnidae,Daphnia magma,,32.997,23.333,0.00005,20,,,,Schindler 1968,0.00005
I,Branchiopoda,Daphnidae,Daphnia magma,,35.386,12.511,0.000118,10,,,,Goss & Bunting 1980,0.000118
I,Branchiopoda,Daphnidae,Daphnia magma,,36.195,25.594,0.000061,20,,,,Goss & Bunting 1980,0.000061
I,Branchiopoda,Daphnidae,Daphnia magma,,38.034,19.017,0.000087,15,,,,Goss & Bunting 1980,0.000087
I,Branchiopoda,Daphnidae,Daphnia magma,,47.600,47.600,0.000066,25,,,,Goss & Bunting 1980,0.000066
I,Branchiopoda,Daphnidae,Daphnia pulex,MIN,37.668,9.417,0.000581,5,,,,Goss & Bunting 1980,0.000581
I,Branchiopoda,Daphnidae,Daphnia pulex,,42.285,14.950,0.000481,10,,,,Goss & Bunting 1980,0.000481
I,Branchiopoda,Daphnidae,Daphnia pulex,,51.147,36.167,0.000055,20,,,,Ikeda 1970,0.000055
I,Branchiopoda,Daphnidae,Daphnia pulex,,58.139,82.222,0.000147,30,,,,Goss & Bunting 1980,0.000147
I,Branchiopoda,Daphnidae,Daphnia pulex,,64.067,64.067,0.0002,25,,,,Goss & Bunting 1980,0.0002
I,Branchiopoda,Daphnidae,Daphnia pulex,,65.548,46.350,0.000208,20,,,,Goss & Bunting 1980,0.000208
I,Branchiopoda,Daphnidae,Daphnia pulex,,65.556,32.778,0.000374,15,,,,Goss & Bunting 1980,0.000374
I,Branchiopoda,Daphnidae,Daphnia pulex,,132.489,103.9,0.0006,21.5,,,,Ikeda 1970,0.0006
I,Branchiopoda,Sididae,Penilia avirostris,MIN,3.1,2.2,0.00004,20,,,,Pavlova 1961,0.00004
I,Branchiopoda,Podonidae,Podon polyphemoides,MIN,4.2,2.9,0.00012,20,,,,Pavlova 1961,0.00012
I,Branchiopoda,Polyartemiidae,Polyartemia forcipata,MIN,2.8284,2.000,0.00769,20,,,,Ivanova & Korobtsova 1974,0.00769
I,Branchiopoda,Triopsidae,Triops cancriformis,MIN,1.6,1.1,0.230,20,0.019,91.7,,Tscherbakov & Muragina 1953,0.230
I,Branchiopoda,Triopsidae,Triops cancriformis,,1.7,1.2,0.340,20,0.028,91.8,,Tscherbakov & Muragina 1953,0.340
I,Branchiopoda,Triopsidae,Triops cancriformis,,1.75,1.24,0.410,20,0.035,91.5,,Tscherbakov & Muragina 1953,0.410
I,Branchiopoda,Triopsidae,Triops cancriformis,,3.1,2.2,0.190,20,0.0185,90.3,,Tscherbakov & Muragina 1953,0.190
I,Branchiopoda,Triopsidae,Triops cancriformis,,3.5,2.5,0.160,20,0.0135,91.6,,Tscherbakov & Muragina 1953,0.160
I,Thoracica,Balanidae,Balanus balanoides,MIN,2.3480,0.5870,0.0046,5,0.00122,73.7,,Barnes & Barnes 1969,0.0046
I,Thoracica,Balanidae,Balanus balanoides,,3.1113,2.2000,0.005,20,0.00131,73.7,,Barnes & Barnes 1969,0.005
I,Thoracica,Balanidae,Balanus balanoides,,3.5790,1.7895,0.0076,15,0.002,73.7,,Barnes & Barnes 1969,0.0076
I,Thoracica,Balanidae,Balanus balanoides,,3.5915,1.2698,0.0063,10,0.00167,73.7,,Barnes & Barnes 1969,0.0063
I,Thoracica,Balanidae,Balanus balanus,MIN,0.7238,0.5118,0.1129,20,,,,Barnes & Barnes 1969,0.1129
I,Thoracica,Balanidae,Balanus balanus,,0.7328,0.5182,0.11,20,0.0297,73.7,,Barnes & Barnes 1969,0.11
I,Thoracica,Balanidae,Balanus balanus,,0.7520,0.1880,0.117,5,0.0309,73.7,,Barnes & Barnes 1969,0.117
I,Thoracica,Balanidae,Balanus balanus,,0.9348,0.4674,0.092,15,0.0242,73.7,,Barnes & Barnes 1969,0.092
I,Thoracica,Balanidae,Balanus balanus,,0.9704,0.3431,0.102,10,0.0269,73.7,,Barnes & Barnes 1969,0.102
I,Thoracica,Balanidae,Balanus balanus,,0.9745,0.6891,0.092,20,,,,Barnes & Barnes 1969,0.092
I,Thoracica,Balanidae,Balanus balanus,,3.2022,2.2643,0.00498,20,,,,Barnes & Barnes 1969,0.00498
I,Thoracica,Balanidae,Balanus balanus,,3.7059,2.6205,0.0076,20,,,,Barnes & Barnes 1969,0.0076
II,Isopoda,Aegidae,Aega sp.,MIN,4.5373,2.606,0.026,17,0.00664,74.4,,Ikeda 1970,0.026
II,Mysidacea,Mysidae,Antarctomysis maxima,MIN,1.6065,1.1360,0.721,20,,,,Opalinski 1991,0.721
II,Isopoda,Anuropidae,Anuropus bathypelagicus,MIN,0.0889,0.023,3.45,5.5,0.95,0.029,72.4,Childress 1975,3.45
II,Isopoda,Anuropidae,Anuropus bathypelagicus,,0.4984,0.129,3.45,5.5,0.95,0.029,72.4,Childress 1975,3.45
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,MIN,1.6541,1.1696,0.0106,20,,,,Jawed 1973,0.0106
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,1.7225,1.2180,0.00935,20,,,,Jawed 1973,0.00935
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,1.8013,1.2737,0.00806,20,,,,Jawed 1973,0.00806
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,1.8451,1.3047,0.00645,20,,,,Jawed 1973,0.00645
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,1.8661,1.3195,0.0071,20,,,,Jawed 1973,0.0071
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,2.3404,1.6549,0.00339,20,,,,Jawed 1973,0.00339
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,2.5070,1.7727,0.00269,20,,,,Jawed 1973,0.00269
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,3.1352,2.2169,0.00124,20,,,,Jawed 1973,0.00124
II,Mysidacea,Mysidae,Archaeomysis grebnitzkii,,3.3057,2.3375,0.00108,20,,,,Jawed 1973,0.00108
II,Isopoda,Armadillidae,Armadillidium nasatum,MIN,1.0235,0.7237,0.03,20,,,,Reichle 1968,0.03
II,Isopoda,Armadillidae,Armadillidium pallasii,MIN,0.707,0.500,0.27,20,,,,Byzova 1973,0.27
II,Isopoda,Armadillidae,Armadillidium pallasii,,0.731,0.517,0.1,20,Byzova,1973,(data,,0.1
II,Isopoda,Armadillidae,Armadillidium pallasii,,0.747,0.528,0.16,20,Byzova,1973,(data,,0.16
II,Isopoda,Armadillidae,Armadillidium pallasii,,0.817,0.578,0.13,20,Byzova,1973,(data,,0.13
II,Isopoda,Armadillidae,Armadillidium pallasii,,0.935,0.661,0.05,20,Byzova,1973,(data,,0.05
II,Isopoda,Armadillidae,Armadillidium pallasii,,1.100,0.778,0.09,20,,,,Byzova 1973,0.09
II,Isopoda,Armadillidae,Armadillidium pallasii,,1.242,0.878,0.03,20,Byzova,1973,(data,,0.03
II,Isopoda,Armadillidae,Armadillidium pallasii,,1.414,1.000,0.015,20,Byzova,1973,(data,,0.015
II,Isopoda,Armadillidae,Armadillidium pallasii,,1.894,1.339,0.053,20,,,,Byzova 1973,0.053
II,Isopoda,Armadillidae,Armadillidium pallasii,,2.106,1.489,0.053,20,,,,Byzova 1973,0.053
II,Isopoda,Armadillidae,Armadillidium pallasii,,2.908,2.056,0.024,20,,,,Byzova 1973,0.024
II,Isopoda,Armadillidae,Armadillidium pallasii,,3.615,2.556,0.0025,20,,,,Byzova 1973,0.0025
II,Isopoda,Armadillidae,Armadillidium pallasii,,4.400,3.111,0.0009,20,,,,Byzova 1973,0.0009
II,Isopoda,Armadillidae,Armadillidium vulgare,MIN,0.7863,0.556,0.144,20,Byzova,1973,(data,,0.144
II,Isopoda,Armadillidae,Armadillidium vulgare,,1.1469,0.811,0.065,20,Byzova,1973,(data,,0.065
II,Isopoda,Armadillidae,Armadillidium vulgare,,1.4142,1.000,0.12,20,Byzova,1973,(data,,0.12
II,Isopoda,Armadillidae,Armadillidium vulgare,,4.0857,2.889,0.004,20,Byzova,1973,(data,,0.004
II,Isopoda,Armadillidae,Armadillidium vulgare,,11.2345,7.944,0.00064,20,Byzova,1973,(data,,0.00064
II,Isopoda,Asellidae,Asellus aquaticus,MIN,3.1,1.11,0.0168,10,,,,Simčič & Brancelj 2006,0.0168
II,Amphipoda,Pontoporeiidae,Bathyporeia pelgica,MIN,0.0062,0.0044,0.0022,20,,,,Fish & Preece 1970,0.0022
II,Amphipoda,Pontoporeiidae,Bathyporeia pelgica,,6.7908,4.8018,0.00222,20,,,,Fish & Preece 1970,0.00222
II,Amphipoda,Pontoporeiidae,Bathyporeia pelgica,,7.1562,5.0602,0.00133,20,,,,Fish & Preece 1970,0.00133
II,Amphipoda,Pontoporeiidae,Bathyporeia pelgica,,8.9144,6.3034,0.00089,20,,,,Fish & Preece 1970,0.00089
II,Amphipoda,Pontoporeiidae,Bathyporeia pilosa,MIN,0.0057,0.004,0.00219,20,,,,Fish & Preece 1970,0.00219
II,Amphipoda,Pontoporeiidae,Bathyporeia pilosa,,3.2202,2.2770,0.00444,20,,,,Fish & Preece 1970,0.00444
II,Amphipoda,Pontoporeiidae,Bathyporeia pilosa,,6.7908,4.8018,0.00222,20,,,,Fish & Preece 1970,0.00222
II,Amphipoda,Pontoporeiidae,Bathyporeia pilosa,,8.9531,6.3308,0.00133,20,,,,Fish & Preece 1970,0.00133
II,Amphipoda,Pontoporeiidae,Bathyporeia pilosa,,10.6940,7.5618,0.00089,20,,,,Fish & Preece 1970,0.00089
II,Mysidacea,Mysidae,Boreomysis californica,MIN,0.3323,0.086,0.035,5.5,0.0061,0.079,82.6,Childress 1975,0.035
II,Mysidacea,Mysidae,Boreomysis californica,,1.2519,0.324,0.035,5.5,0.0061,0.079,82.6,Childress 1975,0.035
II,Amphipoda,Eusiridae,Bovallia gigantea,MIN,2.9346,0.556,0.528,1,0.104,80,,Opalinski 1991,0.528
II,Amphipoda,Lycaeidae,Brachyscelus latipes,MIN,15.2837,20.167,0.00128,29,0.00019,85.2,,Ikeda 1970,0.00128
II,Amphipoda,Ampeliscidae,Byblis securiger,MIN,4.5792,0.956,0.239,2.4,0.067,72,,Opalinski 1991,0.239
II,Isopoda,Cylisticidae,Cylisticus convexus,MIN,1.8574,1.3134,0.0384,20,,,,Reiche 1968,0.0384
II,Amphipoda,Cyphocarididae,Cyphocaris richardi,MIN,1.3526,0.217,1.062,-1.4,0.287,73,,Opalinski 1991,1.062
II,Amphipoda,Cyphocarididae,Cyphocaris sp,MIN,1.7351,0.311,0.32,0.2,0.08142,0.070,74.9,Ikeda 1988,0.32
II,Cumacea,Diastylidae,Diastylis sp.,MIN,5.0004,2.872,0.0006,17,0.00018,70,,Ikeda 1970,0.0006
II,Amphipoda,Gammaridae,Dikerogammarus haemobaphes,MIN,4.5123,3.1907,0.008,20,,,,Kititsina 1980,0.008
II,Amphipoda,Eusiridae,Djerboa furcipes,MIN,2.3872,0.422,0.1,0,80,,,Opalinski 1991,0.1
II,Amphipoda,Eurycopidae,Eurymera monticulosa,MIN,3.3991,0.644,0.235,1,0.042,82.2,,Opalinski 1991,0.235
II,Amphipoda,Eurycopidae,Eurythenes gryllus,MIN,3.0678,0.506,0.95,-1,0.173,81.8,,Opalinski 1991,0.95
II,Amphipoda,Eusiridae,Eusirus perdentatus,MIN,0.8064,0.133,1.628,-1,0.344,79,,Opalinski 1991,1.628
II,Amphipoda,Hyperiidae,Euthemisto compressa,MIN,3.3,0.77,0.022,4,0.00435,80,,Conover 1960,0.022
II,Amphipoda,Hyperiidae,Euthemisto compressa,,3.6,0.83,0.024,4,0.00487,80,,Conover 1960,0.024
II,Amphipoda,Hyperiidae,Euthemisto compressa,,3.7,0.86,0.025,4,0.00497,80,,Conover 1960,0.025
II,Amphipoda,Hyperiidae,Euthemisto libellula,MIN,4.7,0.83,0.017,-0.1,0.00298,0.0805,82.4,Ikeda & Skjoldal 1989,0.017
II,Amphipoda,Hyperiidae,Euthemisto libellula,,4.7239,1.244,0.00791,5.75,0.00153,80.7,,Ikeda 1970,0.00791
II,Amphipoda,Hyperiidae,Euthemisto libellula,,11.0608,3.111,0.00455,6.7,0.0008,82.5,,Ikeda 1970,0.00455
II,Amphipoda,Gammaridae,Gammarus duebeni,MIN,3.1113,1.1,0.05,10,,,,Bulnheim 1979,0.05
II,Amphipoda,Gammaridae,Gammarus fossarum,MIN,2.0,0.722,0.0189,10,,,,Simčič & Brancelj 2006,0.0189
II,Amphipoda,Gammaridae,Gammarus locusta,MIN,2.3220,1.6419,0.015,20,0.00349,77.4,,Ivlev & Sutschenya 1961,0.015
II,Amphipoda,Gammaridae,Gammarus locusta,,2.6286,1.8587,0.015,20,0.00349,77.4,,Ivlev & Sutschenya 1961,0.015
II,Amphipoda,Gammaridae,Gammarus locusta,,4.8000,2.4,0.05,15,,,,Bulnheim 1979,0.05
II,Amphipoda,Gammaridae,Gammarus oceanicus,MIN,2.8000,1.4,0.05,15,,,,Bulnheim 1979,0.05
II,Amphipoda,Gammaridae,Gammarus salinus,MIN,3.3941,1.2,0.05,10,,,,Bulnheim 1979,0.05
II,Amphipoda,Gammaridae,Gammarus zaddachi,MIN,3.1113,1.1,0.05,10,,,,Bulnheim 1979,0.05
II,Isopoda,Chaetiliidae,Glyptonotus antarcticus,MIN,0.3224,0.057,33,0,,,,Robertson et al. 2003,33
II,Mysidacea,Lophogastridae,Gnathophausia gigas,MIN,0.3440,0.086,1.01,5,,,,Cowles et al. 1991,1.01
II,Mysidacea,Lophogastridae,Gnathophausia gigas,,0.4459,0.104,1.052,4,0.193,0.071,79.5,Childress 1975,1.052
II,Mysidacea,Lophogastridae,Gnathophausia gigas,,0.7811,0.14,0.77,0.2,0.12729,0.073,83.4,Ikeda 1988,0.77
II,Mysidacea,Lophogastridae,Gnathophausia gigas,,4.8444,1.13,1.052,4,0.193,0.071,79.5,Childress 1975,1.052
II,Mysidacea,Lophogastridae,Gnathophausia gracilis,MIN,0.2658,0.062,2.05,4,0.38,0.070,81.6,Childress 1975,2.05
II,Mysidacea,Lophogastridae,Gnathophausia gracilis,,0.4520,0.113,2.45,5,,,,Cowles et al. 1991,2.45
II,Mysidacea,Lophogastridae,Gnathophausia gracilis,,1.8092,0.422,2.05,4,0.38,0.070,81.6,Childress 1975,2.05
II,Mysidacea,Lophogastridae,Gnathophausia ingens,MIN,0.0810,0.0189,52.42,4,4.875,0.054,0.91,Childress 1975,52.42
II,Mysidacea,Lophogastridae,Gnathophausia ingens,,0.3593,0.093,5.542,5.5,1.514,0.063,72.6,Childress 1975,5.542
II,Mysidacea,Lophogastridae,Gnathophausia ingens,,0.5374,0.19,5.11,10,,,,Cowles et al. 1991,5.11
II,Mysidacea,Lophogastridae,Gnathophausia ingens,,1.0800,0.27,5.11,5,,,,Cowles et al. 1991,5.11
II,Mysidacea,Lophogastridae,Gnathophausia ingens,,3.2417,0.839,5.542,5.5,1.514,0.063,72.6,Childress 1975,5.542
II,Mysidacea,Lophogastridae,Gnathophausia zoea,MIN,0.3111,0.11,3.99,10,,,,Cowles et al. 1991,3.99
II,Mysidacea,Lophogastridae,Gnathophausia zoea,,0.3593,0.093,5.2,5.5,,,,Childress 1975,5.2
II,Mysidacea,Lophogastridae,Gnathophausia zoea,,0.4675,0.121,5.2,5.5,,,,Childress 1975,5.2
II,Mysidacea,Lophogastridae,Gnathophausia zoea,,0.8000,0.20,3.99,5,,,,Cowles et al. 1991,3.99
II,Amphipoda,Eusiridae,Gondogeneia antarctica,MIN,10.5561,2.000,0.029,1,0.005,83,,Opalinski 1991,0.029
II,Isopoda,Hemioniscidae,Hemilepistus elegans,MIN,0.7382,0.522,0.275,20,,,,Byzova 1973,0.275
II,Isopoda,Hemioniscidae,Hemilepistus elegans,,1.5316,1.083,0.115,20,,,,Byzova 1973,0.115
II,Mysidacea,Mysidae,Hypererythrops sp.,MIN,7.5929,4.361,0.00111,17,0.000542,52.2,,Ikeda 1970,0.00111
II,Amphipoda,Lanceolidae,Hyperia galba,MIN,0.88,0.23,0.0824,5.6,0.00824,90,,Conover 1960,0.0824
II,Amphipoda,Lanceolidae,Hyperia galba,,0.99,0.26,0.01015,5.6,0.001015,90,,Conover 1960,0.01015
II,Amphipoda,Lanceolidae,Hyperia galba,,1.2021,0.425,0.0357,10,0.0041,0.067,88.5,Childress 1975,0.0357
II,Amphipoda,Lanceolidae,Hyperia galba,,1.2444,0.383,0.2527,8,0.0286,88.7,,Ikeda 1970,0.2527
