row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
68,Pseudomonas aci- dovorans (ATCC 17455=NCIB 10013),Delftia acido-,Betaproteobacteria: μl Burkholderiales DM)−1,O (4 mg 2 min−1,MIN,0.5,13,30,9.19,0.8,"Hareland et al. 1975 [Wen et al. 1999, rods, 0.4- 0.8×2.5-4.1 μm]",Bacteria grown for hr (end of logarithmic growth); respiration measured for about min,20 Bacteria originally isolated from poultry house deep-litter 10,8e-13
69,Pseudomonas sp. B aba 2,Delftia acido-,Betaproteobacteria: μl Burkholderiales DM)−1,O (mg 2 hr−1,,8,13,30,9.19,0.8,"Kornberg & Gotto 1961 [Wen et al. 1999, rods, 0.4- 0.8×2.5-4.1 μm]","Cells grown on gly- collate harvested dur- ing the logarithmic phase; for succinate- grown cells 10 μl O DM)−1 hr−1 (mg (17 W/kg). Cooper & Kornberg 1964: cells grown on itaconate harvested during the logarithmic phase, 39 μl O (mg 2 DM)−1 hr−1 = 65 W/kg; for succinate-grown cells 40 μl O (mg 2 DM)−1 hr−1",2,8e-13
70,Pseudomonas des- molytica (S449B1),Delftia acido-,Betaproteobacteria: μl Burkholderiales DM)−1 min)−1,O (0.6 mg 2 (160,,14,15,30,10.61,0.8,"Jigami et al. 1979 [Wen et al. 1999, rods, 0.4-0.8×2.5- 4.1 μm]",Cells harvested after days of growth,3,8e-13
71,Pseudomonas aci- dovorans (ATCC 15688),Delftia acido-,Betaproteobacteria: μl Burkholderiales DM)−1,O (mg 2 hr−1,,18,30,30,21.21,0.8,"Jurtshuk & McQuitty 1976 [Wen et al. 1999, rods, 0.4-0.8×2.5- 4.1 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,8e-13
72,Desulfovibrio salexigens (Mast1),Desulfovibrio,Deltaproteobacteria: nmol protein)−1 Desulfovibrionales,O (mg 2 min−1,MIN,12,13,30,9.19,1.5,van Niel & Gott- schal 1998 [BM],Cells harvested at end of the exponential growth phase,"the Organism isolated from the oxic-anoxic (top) layer of a marine microbial mat, Greece",1.5e-12
73,Enterobacter aer- ogenes,Enterobacter,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,MIN,6,10,30,7.07,0.3,"Jurtshuk & McQuitty 1976 [Fu et al. 2003, rods 0.6×1.2 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,3e-13
74,Enterobacter cloacae (17/97),Enterobacter,Gammaproteobacteria: nmol DM)−1 “Enterobacteriales”,O (mg 2 min−1,MIN,13.9,31,30,21.92,0.9,"Majtán & Ma- jtánová 1999 [BM9, genus, rods 0.6-1.0×1.2-3.0 μm]",Cells harvested from the exponential phase; respiration measured for 10 min,Bacterium isolated from a patient suf- fering from nosocomial infection.,9e-13
75,Enterococcus ceco- 20682T) rum (DSM,Enterococcus,“Bacilli”: “Lactoba- nmol DM)−1 cillales”,O (mg 2 min−1,MIN,1.7,3.8,30,2.69,0.4,Bauer et al. 2000 [BM],Respiration of cells from aerobically glu- cose-grown cultures; respiration of anaero- bically grown cells DM)−1 nmol O (mg 2 min−1,<1,4e-13
76,Streptococcus fae- calis (NCDO 581),Enterococcus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (mg 2 hr−1,MIN,0.16,0.3,30,0.21,0.2,Bryan-Jones & Whittenbury 1969 [BM],respiration of resting suspensions of cells grown aerobically with glucose,,2e-13
77,Streptococcus fae- calis (ATCC 8043),Enterococcus,“Bacilli”: “Lactoba- μmol cillales” mg hr)−1,O (100 2 DM)−1 (2,MIN,8.0,1.5,30,1.06,,Gronlund & Campbell 1961,Cells harvested after 17 hr growth; respira- tion measured for 2,hr,
78,"Enterococcus hirae (ATCC 8043, ATCC 9790)",Enterococcus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (mg 2 hr−1,,1,1.7,30,1.20,,Jurtshuk & McQuitty 1976,Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
79,Enterococcus sp. (RfL6),Enterococcus sp.,“Bacilli”: “Lactoba- nmol cillales” DM)−1,O (mg 2 min−1,MIN,15.1,33,30,23.33,0.8,"Bauer et al. 2000 [rods, 0.6-1×1.1-3 μm]",Respiration of cells from aerobically glu- cose-grown cultures; respiration of anaero- bically grown cells 15.1 nmol O (mg 2 DM)−1 min−1,,8e-13
80,Escherichia coli (EMG-2 K12 Ymel),Escherichia coli,Gammaproteobacteria: ngatom “Enterobacteriales” protein)−1,O (mg min−1,MIN,58- 86,32,37,14,0.7,"Lawford & Had- dock 1973 [Ku- bitschek 1969, Coulter counter, μm3 0.33-1.46 depending on growth rate]",Cells were grown the early exponential phase and starved 2 hr by vigorous shaking at 37 C; respi- ration varied (de- pending on carbon source for growth,to for,6.999999999999999e-13
81,Escherichia coli (W- 1485),Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,2.7,4.5,26,4.20,0.7,"Gunter & Kohn 1956 [Kubitschek 1969, Coulter counter, 0.33-1.46 μm3 depending on growth rate]",Cells harvested from 16 to 18-hr yeast agar plates,,6.999999999999999e-13
82,Escherichia coli (O11a ) 1,Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,4,6.7,30,4.74,0.7,"Jurtshuk & McQuitty 1976 [Kubitschek 1969, Coulter counter, μm3 0.33-1.46 depending on growth rate]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),"the Respiration was 13, 7, 9, 10, 6, 8, 7, 6, DM)−1 hr−1 and 5 μl O (mg for strains 2 B, B/r, C, Crookes, K12, K12S UTH 2593, K12S UTH 3672, and F , respec- tively (8.3-22 W/kg).",6.999999999999999e-13
83,Escherichia coli,Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,7,12,37,5.22,0.7,"Dawes & Ribbons 1965 [Kubitschek 1969, Coulter counter, 0.33-1.46 μm3 depending on growth rate]",Stable respiration of aerobically grown cells harvested during the exponential phase and starved aerobi- cally for 150-180 min; no loss of viability during 12 hr of starva- tion,"“Stationary-phase cells respire endoge- nously at higher rates and contain larger reserves of glycogen, which is the initial substrate oxidized [than exponential- phase cells]. Carbohydrate content of exponential-phase cells drops rapidly together with endogenous respiration during the first 100 min of starvation",6.999999999999999e-13
84,Escherichia coli (B),Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (10 mg 2 hr)−1 (2,,180,15,35,7.50,0.7,"Sobek & Talburt 1968 [Kubitschek 1969, Coulter counter, 0.33-1.46 μm3 depending on growth rate]",Cells grown for 20 at 35 C; respiration measured for 2 hr,hr,6.999999999999999e-13
85,Escherichia coli (ATCC 4157),Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,12,20,37,8.71,0.7,"Davis & Bateman 1960 [Kubitschek 1969, Coulter counter, 0.33-1.46 μm3 depending on growth rate]",Cells harvested after 16.5 hr growth at 37 C; respiration meas- ured for 2 hr,,6.999999999999999e-13
86,Escherichia coli (ATCC 6894),Escherichia coli,Gammaproteobacteria: μmol “Enterobacteriales” mg hr)−1,O (100 2 DM)−1 (2,,79,15,30,10.61,0.7,"Gronlund & Campbell 1961 [Kubitschek 1969, Coulter counter, μm3 0.33-1.46 depending on growth rate]",Cells harvested after 20 hr growth; respira- tion measured for 2,hr,6.999999999999999e-13
87,Escherichia coli (Gratia),Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” hr−1,N)−1 O (mg 2,,105,17.5,30,12.37,0.7,"Dietrich & Burris 1967 [Kubitschek 1969, Coulter counter, 0.33-1.46 μm3 depending on growth rate]",Cells cultured for weeks; respiration measured for 1 hr after 10 min equilibration,2 Bacteria “had a lower endogenous [res- piration] … if harvested during expo- nential growth than after reaching the stationary phase”,6.999999999999999e-13
88,Escherichia coli,Escherichia coli,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,37,62,37,26.99,0.7,"Bishop et al. 1962 [Kubitschek 1969, Coulter counter, μm3 0.33-1.46 depending on growth rate]",Respiration measured immediately after harvesting the cells (aerobic culture) at end of the logarithmic growth phase,Anaerobically grown culture respired at DM)−1 hr−1= 2 μl O (mg 3.3 W/kg 2 the,6.999999999999999e-13
89,Flavobacterium capsulatum (ATCC 14666),Flavobacterium,Flavobacteria: Flavo- μl bacteriales DM)−1,O (mg 2 hr−1 N)−1,MIN,38,63,30,44.55,0.3,"Jurtshuk & McQuitty 1976 [BM9, genus, rods 0.5×1.0-3.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the Listed in ATCC as Novosphingobium capsulatum,3e-13
90,"Pasteurella tularen- sis (SCHU S4, 38 A)",Francisella tula-,Gammaproteobacteria: μl Thiotrichales hr−1,O (mg 2,MIN,22,3.7,37,1.61,0.01,"Weinstein et al. 1962 [BM9, rods 0.2×0.2-0.7 μm]","Cells grown for 16 18 hr; respiration strains 503, CHUR, JAP, LVS, and MAX was 60, 38, 53, 105, N)−1 and 94 μl O (mg 2 hr−1, respectively (6.3- 17.5 W/kg)",to of,1e-14
91,Frankia sp. (EAN1 ) pec,Frankia sp.,Actinobacteria: Acti- nmol DM)−1 nomycetales,O (mg 2 hr−1 N)−1,MIN,242,9,25,9.00,,"Tisa & Ensign 1987 [BM, genus, hyphae 0.5-2.0 μm diam]",Bacteria grown for days,21 Members of the genus Frankia are filamentous actinomycetes that infect roots and induce nodule formation in a variety of woody dicotyledonous plants.,
92,Haemophilus influ- enzae (641b),Haemophilus,Gammaproteobacteria: μl Pasteurellales hr−1,O (mg 2 N)−1,MIN,3,0.5,37,0.22,0.14,"Biberstein & Spencer 1962 [BM, coccobacilli or small regular rods 0.3-0.5 - 0.5- 3.0 μm]",Bacteria grown for 18- 24 hr at 37 C; respira- tion of washed cells measured for 60 min,"Respiration of strains b, c, d, 525, and K 75 was 14, 6, 7, 32, and 9 μl O (mg 2 N)−1 hr−1, respectively (1-5.3 W/kg).",1.4e-13
93,Haemophilus parahaemolyticus (9796),Haemophilus,Gammaproteobacteria: μl Pasteurellales hr−1,O (mg 2 N)−1,MIN,21,3.5,37,1.52,,Biberstein & Spencer 1962,Bacteria grown for 18- 24 hr at 37 C; respira- tion of washed cells measured for 60 min,Respiration of strain 7901 was 24 μl O 2 N)−1 hr−1 (mg (4 W/kg).,
94,Haemophilus para- influenzae (K 98),Haemophilus,Gammaproteobacteria: μl Pasteurellales hr−1,O (mg 2,MIN,21,3.5,37,1.52,0.4,"Biberstein & Spencer 1962 [Kahn 1981, Fig. 1, 0.6×1.3-1.7 μm; Kowalski et al. 1991, diam 0.75-1.25 μm]",Bacteria grown for 18- 24 hr at 37 C; respira- tion of washed cells measured for 60 min,"Respiration of strains K 8, K 17, and K N)−1 45 was 24, 32, and 41 μl O (mg 2 hr−1, respectively (4-6.8 W/kg). White 1962: Stationary-phase cells (>15 hr old) have an insignificant endogenous respiration. Log-phase cells have a small endogenous respiratory rate.",4e-13
95,Halobacterium salinarium (1),Halobacterium,Archaea: Halobacteria: μl Halobacteriales DM)−1,O (mg 2 hr−1,MIN,10,17,30,12.02,3.9,"Stevenson 1966 [Mescher & Strominger 1976, rods 0.5×5 μm]",Cells grown for about 70 hr to the end of exponential phase,An extremely halophilic bacterium the,3.9e-12
96,Micrococcus halo- denitrificans,Halomonas halo-,Gammaproteobacteria: μl Oceanospirillales DM)−1 min)−1,O (2 mg 2 (30 N)−1,MIN,40,67,25,67.00,0.4,"Sierra & Gibbons 1962 [Ventosa et al. 1998, rods, 0.5-0.9×0.9-1.2 μm]",Cells harvested wards the end of logarithmic phase (about 40 hr),"to- Endogenous respiration and viability of the starved cells remained constant at DM)−1 hr−1 around 40 μl O (mg and 2 100%, respectively, for 3 hr, while the amount of intracellular polyester rapidly declined. After 3 hr both endogenous respiration and viability started to de- cline rapidly. In polyester-poor cells this process was initiated immediately after the beginning of starvation. Cells of this organism contain more nitrogen than other bacteria",4e-13
97,Aerobacter aeroge- nes,Klebsiella pheu- Entero- aerogenes?,Gammaproteobacteria: μl “Enterobacteriales” hr−1,O (mg 2,,67,11,30,7.78,,Dietrich & Burris 1967,Bacteria cultured for weeks in an extract from wheat plants; respiration measured for 1 hr after 10 min equilibration,2 Bacteria “had a lower endogenous [res- piration] … if harvested during expo- nential growth than after reaching the stationary phase”,
98,Aerobacter aeroge- nes,Klebsiella pheu- Entero- aerogenes?,Gammaproteobacteria: μmol “Enterobacteriales” mg hr)−1,O (100 2 DM)−1 (2,,69.3,13,30,9.19,,Gronlund & Campbell 1961,Cells harvested after 20 hr growth,,
99,Klebsiella pneumo- niae (M5a1),Klebsiella pneu-,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,MIN,2,3.3,30,2.33,0.4,Jurtshuk & McQuitty 1976 [BM],Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
100,Klebsiella pneumo- niae (ATCC 13882),Klebsiella,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,4,6.7,30,4.74,0.4,Jurtshuk & McQuitty 1976 [BM],Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
101,Aerobacter aeroge- nes (NCTC 418),Klebsiella,Gammaproteobacteria: μl “Enterobacteriales” DM)−1,O (mg 2 hr−1,,12,20,37,8.71,0.4,Bishop et al. 1962 [BM],Respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase,at,4e-13
102,Lactobacillus brevis (12),Lactobacillus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (12 mg 2 hr)−1 (2,MIN,2.9,0.2,30,0.14,1.6,"Walker 1959 [BM, rods 0.7- 1.0×2-4]","Cells (strain 1.2) were grown for 48 hr; dogenous respiration measured for 3 hr (Fig. 3); mean respiration rate for the second and third hour was taken; during the first hour, respiration was 4 times higher",Bacterium originally isolated from New en- Zealand cheddar cheese Respiration decreases with starvation time,1.6e-12
103,Lactobacillus casei sbsp. rhamnosus (ATCC 7469),Lactobacillus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (mg 2 hr−1,MIN,1,1.7,30,1.20,,Jurtshuk & McQuitty 1976,Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
104,"Streptococcus lactis (strains 8, 9, 32)",Lactococcus,“Bacilli”: “Lactoba- μl cillales” DM)−1,O (115 mg 2 hr)−1 (4,MIN,170,0.6,30,0.42,0.2,Spendlove et al. 1957 [BM],Cells grown for 11 for 7- and 9-hr grown cells respiration was around 400 μl O (115 2 DM)−1 hr)−1 mg (4,"hr; In 11-hr cells respiration decreases in the first 30 min of the 4-hr’ measure- ment, then remains relatively constant; in 7-hr and 9-hr cells respiration first decreases, then starts to increase again after 2-3 hr.",2e-13
105,Lactococcus lactis ssp. lactis (DSM 20481T),Lactococcus,“Bacilli”: “Lactoba- nmol DM)−1 cillales”,O (mg 2 min−1,,<1,2.3,30,1.63,0.2,Bauer et al. 2000 [BM],Respiration of cells from aerobically and anaerobically glucose- grown cultures,,2e-13
106,Lactococcus sp. (TmLO5),Lactococcus sp.,“Bacilli”: “Lactoba- nmol DM)−1 cillales”,O (mg 2 min−1,MIN,<1,2.3,30,1.63,0.8,"Bauer et al. 2000 [rods, 0.6-1×1.1-3 μm]",Respiration of cells from aerobically and anaerobically glucose- grown cultures,,8e-13
107,"Legionella pneumo- phila (Knoxville-1, serotype 1)",Legionella,Gammaproteobacteria: μl Legionellales DM)−1,O (mg 2 min−1,MIN,0.2,20,37,8.71,0.3,"Tesh et al. 1983 [Faulkner & Gar- duño 2002, rods 0.3-0.5×1.5-3.0 μm, prereplicative phase; Kowalski et al. 1999, 0.3- 0.9×2 μm]",Bacteria harvested mid- to late exponen- tial growth phase (15- 18 hr growth time) when the mass- specific oxygen con- sumption is highest (~70 W/kg); washed; “held at 37 C until used”; calibrated for min; respiration meas- ured when “a steady rate of endogenous respiration was estab- lished”.,at 3,3e-13
108,Legionella pneumo- phila (serogroup 1),Legionella,Gammaproteobacteria: μl Legionellales protein)−1 min)−1,O (400 μg 2 (40,,25,77,37,33.52,0.3,"Bonach & Snyder 1983 [Faulkner & Garduño 2002, rods 0.3-0.5×1.5- 3.0 μm, prerepli- cative phase; Kowalski et al. 1999, 0.3-0.9×2 μm]]","Cells harvested at mid- log phase, shaken 30 min, respiration measured for 40 min",for,3e-13
109,Pseudomonas AM1 (NCIB 9133),Methylobacte- extorquens,Alphaproteobacteria: nmol protein)−1 Rhizobiales,O (mg 2 min−1,MIN,5,6,30,4.24,1,"Keevil & Anthony 1979 [Peel & Quayle 1961, rods 0.8×2.0 μm]","Cells harvested at end of logarithmic phase; depending growth conditions, respiration ranged from 5 to 16 orig. units; the same result obtained by O'Keeffe & Anthony 1978",the on,1e-12
110,Methylomicrobium sp. (AMO 1),Methylomicro- sp.,Gammaproteobacteria: nmol Methylococcales protein)−1,O (mg 2 min−1,MIN,10,11,30,7.78,3,"Sorokin et al. 2000 and personal communication with Dr. D.Yu. Sorokin (15 Nov 2006) (ovoid rods, 1-1.5×2-3 μm)","Cells grown with methane at pH 10 Endogenous respira- tion is usually below 10 nmol O (mg pro- 2 tein)−1 min−1, except cells grown on acetate and at high pH (10.8- 11.5), when it can be 20-50 nmol O (mg 2 protein)−1 min−1",in,3e-12
111,Methylophilus methylotrophus (NCIB 10515),Methylophilus,Betaproteobacteria: ng-atoms DM)−1 Methylophiliales,O (mg min−1,MIN,1.4,1.6,40,0.57,0.15,"Dawson & Jones 1981 [Jenkins et al. 1987, rods 0.3- 0.6×0.8-1.5 μm]",Cells harvested from continuous culture and used within 3 hr,Obligate methylotroph using methanol as the sole source of carbon and energy,1.5e-13
112,Methylosinus trichosporium OB3b (ATCC 35070),Methylosinus,Alphaproteobacteria: nmol Rhizobiales protein)−1,O (mg 2 min−1,MIN,38,42,30,29.70,1,"Lontoh et al. 1999 [Reed & Dugan 1978, Fig. 1]",Cells harvested in exponential phase,the Cell mass estimated from cell linear dimensions as shown in Fig. 1 of Reed & Dugan 1978,1e-12
113,Sarcina lutea,Micrococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,0.7,1.2,37,0.52,1.1,Burleigh & Dawes 1967 [BM],"Cells were harvested after 24 hr growth on peptone; starved for hr; viability 96%; respiration fell to ""barely measurable"" DM)−1 (0.3 μl O (mg 2 hr−1) when starvation was prolonged to 72 with viability falling 25% Bishop et al. 1962: respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase was below detection limit (0 orig. units) DM)−1 (148 μl O (mg 2 hr−1in the presence of lactate)","Endogenous respiration decreased dur- ing starvation most rapidly in the first 5 29 hr of starvation (from 21.1 to 0.7 orig. units) Initial endogenous respiration depended on the time of harvesting: mid- exponential (21 hr) — 30 orig. units; onset of the stationary phase (34 hr) — hr 15.9; 60 hr — 6.3 orig. units; the decline to of respiration is correlated with the decline of intracellular contents of free amino acids, carbohydrate etc. Mathews & Sistrom 1959: endogenous respiration is reduced by 75% by shak- at ing for 3 hr at 34 C (cells harvested in the exponential phase after 10-12 hr incubation at 34 C)",1.1000000000000002e-12
114,Sarcina lutea,Micrococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,3.5,6,35,3.00,1.1,Dawes & Holms 1958 [BM],Cells harvested after 24 hr growth at 35 and aerated for 5 respiration 3.5 μl DM)−1 hr−1 (mg = W/kg,C hr; O 2 6,1.1000000000000002e-12
115,Micrococcus lyso- deikticus,Micrococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,11,18,37,7.83,1.1,Davis & Bateman 1960 [BM],Cells harvested after 16.5 hr growth at C; respiration meas- ured for 2 hr,37,1.1000000000000002e-12
116,Sarcina flava,Micrococcus,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,9,15,30,10.61,1.1,Jurtshuk & McQuitty 1976 [BM],"Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration); respiration was 16, and 30 μl O (mg 2 DM)−1 hr−1 for Micro- coccus (Sarcina) teus, M. (S. flava) luteus and M. (lyso- deikticus) luteus ATCC 4698, respec- tively (27, 15 and W/kg)",the 9 lu- 50,1.1000000000000002e-12
117,Micrococcus sp. (S9),Micrococcus sp.,Actinobacteria: Acti- μl nomycetales DM)−1,O (4 mg 2 min−1,MIN,0.40,10,30,7.07,,"Sparnins & Chapman 1976 [BM, genus, spherical cells, diam 0.5-2.0 μm]",,,
118,Micrococcus sp.,Micrococcus sp.,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,10,17,30,12.02,,"Cooper et al. 1965 [BM, genus, spherical cells, diam 0.5-2.0 μm]",Cells harvested during the exponential phase,The organism was isolated from soil. Size and classification as for genus Micrococcus Cohn 1872,
119,Moraxella osloensis,Moraxella oslo-,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,8,13,30,9.19,2.3,"Jurtshuk & McQuitty 1976 [Baumann et al. 1968, rods 0.9- 1.7×1.6-2.7 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2.3e-12
120,Mycobacterium fortuitum,Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,10,17,30,12.02,,Jurtshuk & McQuitty 1976,Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
121,Mycobacterium leprae,Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1 N)−1,MIN,2,3.3,37,1.44,,Mori et al. 1985,Cells isolated from mice,,
122,Mycobacterium lepraemurium (Ha- waiian strain),Mycobacterium,Actinobacteria: Acti- μl nomycetales hr−1,O (mg 2,MIN,20- 70,3.3,37,1.44,,Gray 1952,"Culture isolated from infected rats; occa- sionally, some suspen- sions respired less than N)−1 hr−1 5 μl O (mg 2",,
123,Mycobacterium phlei (72),Mycobacterium,Actinobacteria: Acti- μmol nomycetales N)−1,O (mg 2 hr−1,MIN,4.8,14,37,6.09,0.4,Tepper 1968 [BM],Glucose-grown cells (strain 72) harvested from 5-day culture; respiration calculated assuming N/DM ratio of 0.08 (Tepper 1968); respiration measured for a minimum of 90 min; glycerol-grown cells had 7.3 μmol O N)−1 hr−1= (mg 16 W/kg,"N/DM=5.6-6.8% for glycerol-grown cells, 7.8-8.9% for glucose-grown cells 2",4e-13
124,Mycobacterium phlei,Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1 N)−1,,16,27,30,19.09,0.4,Jurtshuk & McQuitty 1976 [BM],Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,4e-13
125,Mycobacterium smegmatis (607),Mycobacterium,Actinobacteria: Acti- μl nomycetales hr−1,O (mg 2,MIN,146,24,37,10.45,,"Forbes et al. 1962 [BM, genus, rods 0.2-0.6×3.0-3.5 μm]",Cells harvested after 22 hr incubation.,,
126,Mycobacterium stercoris (NCTC 3820),Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,11.9,20,30,14.14,,"Hunter 1953 [BM, genus, rods 0.2- 0.6×3.0-3.5 μm]","Cells grown for 5-6 days; respiration of (butyricum) smegma- tis (NCTC 337) and M. smegmatis (NCTC 523) was 13.4 and DM)−1 hr−1, μl O (mg 2 respectively",M. 15,
127,Mycobacterium smegmatis,Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,13,22,30,15.56,,"Jurtshuk & McQuitty 1976 [BM, genus, rods 0.2-0.6×3.0-3.5 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration); respiration was 13 DM)−1 hr−1 O (mg 2 22 W/kg at 30 C,the μl =,
128,Mycobacterium tuberculosis var. hominis,Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr)−1 (5,MIN,6.5,2.2,37,0.96,0.2,"Engelhard et al. 1957 [BM, rods 0.2-0.5×2-4 μm]",Bacteria grown for to 28 hr in batches; magnetically mixed buffer solution for hr; stored at −5 C no more than 12 before analysis; respi- ration measured for hr,25 Human tuberculosis bacteria in 5 for hr 5,2e-13
129,"Mycobacterium tuberculosis var. hominis (H37Rv, LRv)",Mycobacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,,4.2- 5.8,7,37. 8,2.9,0.2,"Segal & Bloch 1955 [BM, rods 0.2-0.5×2-4 μm]",Various growth con- ditions,,2e-13
130,Mycobacterium tuberculosis var. avium,Mycobacterium,Actinobacteria: Acti- μl nomycetales WM)−1 min)−1,O (10 mg 2 (90,,100,37,37,16.11,0.2,"Minami 1957 [BM, rods 0.2- 0.5×2-4 μm]",Cultures 3 days old,,2e-13
131,Mycobacterium tuberculosis var. hominis (H37Rv),Mycobacterium,Actinobacteria: Acti- μl nomycetales WM)−1,O (mg 2 (hr)−1,,0.46- 1.10,2.6-6,37,23.33,0.2,"Youmans et al. 1960 [BM, rods 0.2-0.5×2-4 μm]","Various growth con- ditions. Similar results were obtained later the same team (You- mans & Youmans 1962a,b)",by,2e-13
132,Myxococcus xan- thus (FB),Myxococcus,Deltaproteobacteria: μl Myxococcales DM)−1 min)−1,O (15 mg 2 (75,MIN,7,4.6,30,3.25,1,"Dworkin & Niederpruem 1964 [McVittie et al. 1962, rods, 0.5×3-8 μm]",Vegetative cells har- vested in the early stationary phase (30 hr); respiration meas- ured for 75 min,No measurable respiration in microcysts,1e-12
133,Neisseria elongata (ATCC 25295),Neisseria elon-,Betaproteobacteria: μl Neisseriales DM)−1,O (mg 2 hr−1,MIN,5,8.3,30,5.87,0.2,"Jurtshuk & McQuitty 1976 [BM, short rods 0.5 μm width]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-13
134,Neisseria flava (ATCC 14221),Neisseria flava,Betaproteobacteria: μl Neisseriales DM)−1,O (mg 2 hr−1,MIN,7,12,30,8.49,0.2,"Jurtshuk & McQuitty 1976 [BM, genus, cocci, diam 0.6- 1.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-13
135,Neisseria gonor- rhoeae,Neisseria gon-,Betaproteobacteria: nmol protein)−1 Neisseriales,O (mg 2 min−1,MIN,0.5,0.6,37,0.26,0.2,"Kenimer & Lapp 1978 [BM, genus, cocci, diam 0.6- 1.0 μm]",Cells harvested during early stationary phase after 18-20 hours incubation; respiration measured for 2-3 min,Cell mass estimated from linear dimen- sions given in BM of,2e-13
136,Neisseria mucosa,Neisseria mu-,Betaproteobacteria: μl Neisseriales DM)−1,O (mg 2 hr−1,MIN,9,15,30,10.61,0.2,"Jurtshuk & McQuitty 1976 [BM, genus, cocci, diam 0.6- 1.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-13
137,Neisseria sicca,Neisseria sicca,Betaproteobacteria: μl Neisseriales DM)−1,O (mg 2 hr−1,MIN,8,13,30,9.19,0.2,"Jurtshuk & McQuitty 1976 [BM, genus, cocci, diam 0.6- 1.0 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-13
