row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
27,Arthrobacter globi- formis (ATCC 8010),Arthrobacter,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,5,8.3,30,5.87,0.5,"Jurtshuk & McQuitty 1976 [Conn & Dim- mick 1947, rods 0.6-0.8×1-1.5 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,5e-13
28,Arthrobacter globi- formis (NCIB 10683),Arthrobacter sp.,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,0.45,0.75,25,0.75,0.2,Luscombe & Gray 1974,"Cells harvested from continuous cultures and starved for more than 2 days, steady- state viability proximately 80%.","Cocci survive better than rods; initial endogenous respiration was 1.74 and DM)−1 hr−1 7.33 μl O (mg for cocci and 2 rods, respectively, but “after 2 days ap- these had both fallen to a relatively stable level of 0.45”, which was moni- tored for 7 days. Cell volume corresponds to the mini- h−1); mum dilution rate (0.01 it grows up μm3 h−1. to 0.96 at 0.3",2e-13
29,Arthrobacter sp.,Arthrobacter sp.,Actinobacteria: Acti- μl nomycetales DM)−1 min)−1,O (15 mg 2 (20,MIN,3.6,1.2,30,0.85,1.5,"Devi et al. 1975 [BM9, genus, rods 0.8-1.2×1-8 μm; Devi et al. 1975 indicate their strain is 2 μm in length]",Bacteria grown for hr; endogenous respi- ration of resting cells measured for 80 min; data taken for the last 20 min,"48 Data from Fig. 4a (induced cells), last 20 min of endogenous respiration; bac- teria living in soil of Citrus plantations; rods 2 μm in length Respiration decreases with time (mean 2.3 W/kg)",1.5e-12
30,Arthrobacter sp. (TMP),Arthrobacter sp.,Actinobacteria: Acti- μl nomycetales WM)−1,O (50 mg 2 min−1,MIN,0.9,6,30,4.24,,Donnelly et al. 1981,Cells harvested during exponential growth,Isolated from soil,
31,Arthrobacter sp. (CA1),Arthrobacter sp.,Actinobacteria: Acti- μmol nomycetales mg,O (5.3 2 DM)−1 hr−1,MIN,2,14,30,9.90,,Ougham & Trudgill 1982,Bacteria harvested late logarithmic phase; respiration measured for 2 hr,"at Bacteria isolated from field soil con- taminated by aviation fuel, UK",
32,Azotobacter agile,Azomonas agi-,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,12.6,21,26,19.59,13,Gunter & Kohn 1956,Cells harvested from 16 to 18-hr yeast agar plates,"Cell mass estimated from dry mass data, Table 1, 3.8 pg DM/cell",1.3e-11
33,Azorhizobium caulinodans (ORS571),Azorhizobium,Alphaproteobacteria: nmol Rhizobiales protein)−1,O (mg 2 min−1,MIN,34,38,30,26.87,0.5,"Allen et al. 1991 [BM9, rods 0.5- 0.6×1.5-2.5 μm]",Endogenous respira- tion of cells taken from continuous cul- ture; measured for min,10,5e-13
34,Azospirillum bra- siliense (ATCC 29145),Azospirillum,Alphaproteobacteria: μmol Rhodospirillales protein)−1,O (mg 2 min−1,MIN,0.02 4,27,37,11.75,1,"Loh et al. 1984 [BM, species image]","cells harvested during mid log-phase, starved for 4 hr at 4 C; con- stant respiration rate throughout the periment (≈4 hr)",ex-,1e-12
35,Azospirillum lipo- ferum (ATCC 29707),Azospirillum,Alphaproteobacteria: μmol Rhodospirillales protein)−1,O (mg 2 min−1,MIN,0.03 5,39,37,16.98,4,"Loh et al. 1984 [BM, species image]","cells harvested during mid log-phase, washed and starved for 4 hr 4 C",Synonim Spirillum lipoferum (BM) at,4e-12
36,Azotobacter chroo- coccum (NCIB 8003),Azotobacter,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,15,25,30,17.68,14,"Bishop et al. 1962 [Bisset & Hale 1958, Figs. 1-3, 7, 13, diam approx. 3 μm]",Respiration measured immediately after harvesting the cells (aerobic culture) at end of the logarithmic growth phase,Max. resp. (in the presence of glucose) DM)−1 hr−1 was 130 μl O (mg 2 the,1.4e-11
37,Azotobacter vine- landii (O),Azotobacter,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,0.9,1.5,30,1.06,0.5,"Sobek et al. 1966 [Tsai et al. 1979, Fig. 3, diam 1 μm, ATCC 12837, ≈0.06 pgDM/cell, Fig. 1]","Respiration of glu- cose-grown cells har- vested at 20 hr and starved for 48 hr (Ta- ble 1); viability >95% (Fig. 2) Johnson et al. 1958 report that ""well- washed cells of this organism possess no significant endogenous respiration""",During starvation respiration diminishes DM)−1 hr−1 from 4.6-5.8 μl O (mg 2 (depending on growth substrate) during the first four hours and to 0.9-1.4 μl O 2 DM)−1 hr−1 (mg between 48th and 52th hours Viability and respiration depend on the remaining store of PHB (poly-β- hydroxybutyric acid). 16-hr grown cultures were deprived of significant PHB stores and rapidly lost viability during starvation Protein/DM (cell protein to DM ratio) in 16-hr cultures at the beginning of star- vation is 0.58-0.71 depending on growth substrate (0.52-0.54 in 24-hr cultures). At the end of starvation (72 hr) it is 0.39-0.59 in 16-hr cultures and 0.44- 0.52 in 24-hr cultures,5e-13
38,"Azotobacter vine- landii (O, ATCC 12518)",Azotobacter,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,,19,30,30,21.21,0.5,"Jurtshuk & McQuitty 1976 [Tsai et al. 1979, Fig. 3, diam 1 μm, ATCC 12837, ≈0.06 pgDM/cell, Fig. 1]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),"the Jurtshuk et al. 1975: Strain O cells grown to the late logarithmic phase, washed and “allowed to sit overnight at 4 C to reduce the intracellular endoge- nous reserve by starvation”; respiration DM)−1 hr−1 at 30 C was 9-12 μl O (mg 2 = 15-20 W/kg",5e-13
39,Bacillus cereus (C5- 25),Bacillus cereus,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1 N)−1,MIN,8.5,14,37,6.09,3.7,"Nickerson & Sherman 1952 [BM, species]",Normal (not filamen- tous) cells grown for 18 hr; respiration measured for about hr; data of Table 3 Church & Halvorson 1957 report 5 μl O 2 N)−1 hr−1 (mg = 0.8 W/kg at 30 C; heat- shocked spores stored for 4-48 months at −20 C,N/DM=0.100-0.141 Q for this species in Ingram 1940 10 1.5,3.7e-12
40,Bacillus cereus (USDA),Bacillus cereus,“Bacilli”: Bacillales μl hr−1,O (mg 2,,188,31,30,21.92,3.7,"Dietrich & Burris 1967 [BM, spe- cies]",Cells cultured for 2 weeks; respiration measured for 1 hr after 10 min equilibration,,3.7e-12
41,Bacillus cereus,Bacillus cereus,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,,56,97,30,68.59,3.7,"Jurtshuk & McQuitty 1976 [BM, species]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,3.7e-12
42,Bacillus firmus (ATCC 14575),Bacillus firmus,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,MIN,8,13,30,9.19,0.9,"Jurtshuk & McQuitty 1976 [Kanso et al. 2002, rods 0.6- 0.9×1.2-4 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,9e-13
43,Bacillus megaterium,Bacillus megate-,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,MIN,2,3.3,30,2.33,7 1.96,"Jurtshuk & McQuitty 1976 [Bisset 1953, Fig. 17, rods 1.4×4.3 μm] [[Kubitschek 1969, Coulter counter]]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
