row_num,species,U,orig_units,qou,qWkg,q25Wkg,TC,Mpg_pg,order,source,comments,mass_g
19,Coccochloris,Chl,μmol O (mg 2 hr−1 Chl)−1,15.2,8.5,12.02,20,1,Chroococcales,"Coleman & Colman 1980 [Stanier et al. 1971, Fig. 2 PCC 6307, ellipsoid 1×2 μm]",,1e-12
20,Gloeobacter violaceus,Chl,μmol O (mg 2 hr−1 protein)−1,50,28,28.00,25,0.7,Chroococcales,"Koenig & Schmidt 1995 [Pasteur Culture Collection, www.pasteur.fr, width/diameter 1-1.2 μm]",,6.999999999999999e-13
21,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,0.208,4,5.66,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
22,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,0.696,13,18.39,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
23,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,0.856,16,22.63,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
24,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,1.061,20,28.28,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
25,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,1.714,32,45.26,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
26,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 protein)−1,1.927,36,50.91,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
27,Gloeothece sp. PCC,Pr,μmol O (mg 2 hr−1 WM)−1 hr−1,2.149,40,56.57,20,180,Chroococcales,"Ortega-Calvo & Stal 1994 [Stanier et al. 1971, Fig. 7, ellipsoid 6×10 μm]",,1.8e-10
28,Nostoc commune,D,μmol O (g 2 at DM/WM = 0.067 WM)−1 hr−1,2,0.6,0.52,27,8,Nostocales,"Scherer et al. 1984 [Pereira et al. 2005, Fig. 8, cell width 2.5 μm]",Chl a/WM=0.0060-0.0098%; DM/WM=0.067; 6 hrs incubation,8e-12
29,Nostoc commune var.,D,μmol O (g 2 at DM/WM = 0.172 DM)−1 hr−1,5.5,1.4,1.22,27,8,Nostocales,"Scherer et al. 1984 [Pereira et al. 2005, Fig. 8, cell width 2.5 μm]",DM/WM=0.172; 6 hrs incubation,8e-12
30,Nostoc muscorum G.,D,μl O (mg 2 DM)−1 hr−1,1.1,1.8,1.80,25,33,Nostocales,"Kratz & Myers 1955 [estimated from images at UTEX Culture Collection (http://www.zo.utexas.edu/ research/utex/), diam 4 μm, filamentous]",Cells stored in darkness for 24 hr before measurements,3.3e-11
31,Nostoc muscorum G.,D,μl O (mg 2 DM)−1 hr−1,4.4,7.3,7.30,25,33,Nostocales,"Kratz & Myers 1955 [estimated from images at UTEX Culture Collection (http://www.zo.utexas.edu/ research/utex/), diam 4 μm, filamentous]",growing cells harvested and prepared for dark respiration measurements in less than 35 min,3.3e-11
