Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g
Leptodactylus typhonius,0.639,-0.194,5.1,0.708,25,0.639,5.1
Microhyla carolinensis,0.811,-0.091,3.5,0.544,15,0.367,3.5
Molga torosa?,1.452,0.162,17.5,1.243,18.5,0.867,17.5
Necturus maculosus,0.110,-0.959,125,2.097,25,0.110,125
Notophthalmus viridescens,0.372,-0.429,3,0.477,20,0.250,3
Occidozyga martensii,0.291,-0.536,9.3,0.968,35,0.644,9.3
Odontophrynus americanus,0.297,-0.527,15.24,1.183,20,0.200,15.24
Osteopilus septentrionalis,0.546,-0.263,5,0.699,20,0.367,5
Phyllomedusa sauvagei,0.529,-0.277,17.5,1.243,10,0.161,17.5
Physalaemus pustulosus,0.650,-0.187,2.9,0.462,25,0.650,2.9
Plethodon cinereus,0.283,-0.548,0.6,-0.222,17.5,0.156,0.6
Plethodon dorsalis,0.192,-0.717,0.69,-0.161,25,0.192,0.69
Plethodon glutinosus,0.275,-0.561,5.01,0.700,20,0.185,5.01
Plethodon jordani,0.234,-0.631,3.1,0.491,5,0.048,3.1
Plethodon neomexicanus,0.339,-0.470,2.47,0.393,25,0.339,2.47
Plethodon spp.,0.403,-0.395,3.25,0.512,22,0.318,3.25
Pseudacris nigrita,0.900,-0.046,1,0.000,25,0.900,1
Pseudacris triseriata,0.405,-0.393,0.94,-0.027,5,0.083,0.94
Pseudobranchus striatus,0.283,-0.548,2.19,0.340,25,0.283,2.19
Pseudoeurycea belli,0.163,-0.788,24.45,1.388,25,0.163,24.45
Pseudoeurycea brunnata,2.420,0.384,3.33,0.522,15,1.095,3.33
Pseudoeurycea cephalica,0.301,-0.521,1.45,0.161,15,0.136,1.45
Pseudoeurycea cochranae,0.252,-0.599,2.23,0.348,15,0.114,2.23
Pseudoeurycea gadovii,0.362,-0.441,2.88,0.459,15,0.164,2.88
Pseudoeurycea goebeli,0.259,-0.587,3.78,0.577,5,0.053,3.78
Pseudoeurycea leprosa,0.278,-0.556,2.46,0.391,15,0.126,2.46
Pseudoeurycea rex,0.259,-0.587,1.86,0.270,15,0.117,1.86
Pseudoeurycea smithii,0.219,-0.660,6.66,0.823,15,0.099,6.66
Pseudotriton ruber,0.171,-0.767,10.81,1.034,5,0.035,10.81
Pternohyla fodiens,0.265,-0.577,15.1,1.179,20,0.178,15.1
Pyxicephalus adspersus,0.210,-0.678,562.3,2.750,20,0.141,562.3
Rana arvalis,0.674,-0.171,17,1.230,5,0.138,17
Rana aspersa,0.524,-0.281,563,2.751,18.5,0.313,563
Rana berlandieri,0.406,-0.391,70,1.845,29,0.558,70
Rana blythi,0.274,-0.562,88.7,1.948,25,0.274,88.7
Rana cancrivora,0.413,-0.384,20.45,1.311,30,0.614,20.45
Rana catesbeiana,0.137,-0.863,262,2.418,5,0.028,262
Rana chalconota,0.530,-0.276,4.1,0.613,25,0.530,4.1
Rana clamitans,0.462,-0.335,32.5,1.512,25,0.462,32.5
Rana cyanophlyctis,2.968,0.472,0.294,-0.532,29,4.076,0.294
Rana erythraea,0.115,-0.939,19,1.279,15,0.052,19
Rana esculenta,0.108,-0.967,15.2,1.182,23,0.092,15.2
Rana hexadactyla,0.934,-0.030,51.9,1.715,29,1.283,51.9
Rana magna,0.311,-0.507,34.2,1.534,30,0.463,34.2
Rana muscosa,0.217,-0.664,13.5,1.130,4,0.041,13.5
Rana nicobariensis,0.547,-0.262,2.6,0.415,25,0.547,2.6
Rana palustris,0.748,-0.126,36,1.556,21.5,0.567,36
Rana pipiens,0.256,-0.592,34.8,1.542,10,0.078,34.8
Rana ridibunda,0.265,-0.577,35,1.544,20,0.178,35
Rana sylvatica,0.600,-0.222,6,0.778,25,0.600,6
Rana temporaria,0.088,-1.056,39,1.591,15,0.040,39
Rana virgatipes,0.542,-0.266,7,0.845,5,0.111,7
Rhyacotriton olympicus,1.178,0.071,2.6,0.415,15,0.533,2.6
Salamandra maculosa,1.197,0.078,28.32,1.452,18.5,0.715,28.32
Salamandra salamandra,0.171,-0.767,75,1.875,16,0.084,75
Scaphiopus bombifrons,1.708,0.232,13.3,1.124,15,0.773,13.3
Scaphiopus couchii,0.564,-0.249,24.6,1.391,21,0.411,24.6
Scaphiopus hammondii,0.687,-0.163,12.74,1.105,21,0.500,12.74
Scaphiopus holbrooki,1.028,0.012,14,1.146,15,0.465,14
Siren intermedia,0.183,-0.738,13.7,1.137,25,0.183,13.7
Siren lacertina,0.063,-1.201,269,2.430,25,0.063,269
Smilisca baudinii,0.820,-0.086,23.7,1.375,15,0.371,23.7
Taricha granulosa,0.301,-0.521,6.56,0.817,15,0.136,6.56
Taricha rivularis,0.340,-0.469,10.83,1.035,15,0.154,10.83
Taricha torosa,0.164,-0.785,9.87,0.994,10,0.050,9.87
Telmatobius culeus,0.256,-0.592,122.3,2.087,10,0.078,122.3
Telmatobius marmoratus,0.913,-0.040,18.4,1.265,10,0.278,18.4
Thorius sp.,0.316,-0.500,0.31,-0.509,15,0.143,0.31
Triturus cristatus,1.005,0.002,7,0.845,10,0.306,7
Triturus vulgaris,1.033,0.014,8.75,0.942,25,1.033,8.75
Typhlonectes compressicauda,0.262,-0.582,30.62,1.486,25,0.262,30.62
Xenopus laevis,0.227,-0.644,139,2.143,20,0.153,139
Xenopus mulleri,1.096,0.040,24,1.380,17,0.581,24
