Species,q25Wkg,Logq25Wkg,Mg,LogMg,TC,qWkg,mass_g
Philodryas olfersii,0.339,-0.470,176,2.246,20,0.217,176
Philodryas patagoniensis,0.442,-0.355,388,2.589,20,0.283,388
Philodryas serra,0.303,-0.519,135,2.130,20,0.194,135
Phrynosoma cornutum,0.378,-0.423,35,1.544,35,0.922,35
Phrynosoma douglassi,0.389,-0.410,28,1.447,35,0.950,28
Phrynosoma m'calli,0.524,-0.281,16,1.204,37,1.528,16
Physignathus lesueurii,0.267,-0.573,504,2.702,37,0.778,504
Pituophis melanolecus,0.166,-0.780,548,2.739,20,0.106,548
Pitupophis catenifer affinis,0.142,-0.848,548,2.739,30,0.222,548
Podarcis hispanica,0.423,-0.374,3.43,0.535,10,0.111,3.43
Podarcis lilfordi brauni,0.634,-0.198,7.4,0.869,20,0.406,7.4
Podarcis muralis,0.972,-0.012,5.5,0.740,35,2.372,5.5
Psammodromus algirus,1.067,0.028,5.2,0.716,20,0.683,5.2
Pseudemys scripta,0.080,-1.097,305,2.484,10,0.021,305
Pseudonaja nuchalis,0.201,-0.697,214.1,2.331,33,0.411,214.1
Ptyodactylus hasselquistii,0.519,-0.285,8.5,0.929,30,0.811,8.5
Python curtis,0.064,-1.194,2373.5,3.375,20,0.041,2373.5
Python molurus,0.044,-1.357,29777.25,4.474,20,0.028,29777.25
Python regius,0.077,-1.114,787,2.896,20,0.049,787
Python reticulatus,0.078,-1.108,14326,4.156,20,0.050,14326
Python sebae,0.061,-1.215,16140,4.208,20,0.039,16140
Salvadora hexalepis,0.380,-0.420,65,1.813,30,0.594,65
Sauromalus hispidus,0.155,-0.810,574,2.759,20,0.099,574
Sauromalus obesus,0.251,-0.600,150,2.176,20,0.161,150
Sceloporus graciosus,0.489,-0.311,5,0.699,25,0.489,5
Sceloporus occidentalis,0.600,-0.222,10.105,1.005,25,0.600,10.105
Sceloporus olivaceus,0.572,-0.243,24,1.380,20,0.366,24
Sceloporus undulatus,0.339,-0.470,3.8,0.580,20,0.217,3.8
Sceloporus variabilis,3.495,0.543,12.215,1.087,10,0.917,12.215
Scelotes gronovii,0.618,-0.209,1.1,0.041,33,1.261,1.1
Scincella lateralis,1.042,0.018,1,0.000,20,0.667,1
Scinus mitranus,0.341,-0.467,14.6,1.164,35,0.833,14.6
Sibynomorphis mikanii,1.067,0.028,11,1.041,20,0.683,11
Spalerosophis cliffordi,0.433,-0.364,300,2.477,35,1.056,300
Sphaerodactylus beattyi,0.800,-0.097,0.4,-0.398,30,1.250,0.4
Sphaerodactylus cinereus,0.465,-0.333,0.4,-0.398,27,0.556,0.4
Sphaerodactylus macrolepis,0.925,-0.034,0.5,-0.301,30,1.445,0.5
Sphenodon punctatum,0.172,-0.764,430,2.633,25,0.172,430
Sphenops sepsoides,0.281,-0.551,7.4,0.869,30,0.439,7.4
Storeria dekayi,0.576,-0.240,7.2,0.857,30,0.900,7.2
Tarentola mauritanica,0.414,-0.383,6.6,0.820,35,1.011,6.6
Terrapene ornata ornata,0.015,-1.824,354,2.549,10,0.004,354
Thamnodyastes strigatus,0.356,-0.449,55,1.740,20,0.228,55
Thamnophis butleri,0.342,-0.466,19.02,1.279,25,0.342,19.02
Thamnophis proximus,0.533,-0.273,31,1.491,30,0.833,31
Thamnophis sirtalis,0.128,-0.893,200,2.301,29,0.183,200
Tiliqua rugosa,0.328,-0.484,508.6,2.706,35,0.800,508.6
Tiliqua scincoides,0.234,-0.631,493,2.693,20,0.150,493
Trachydosaurus rugosus,0.261,-0.583,461,2.664,20,0.167,461
Trogonophis weigmanni,0.214,-0.670,4.985,0.698,25,0.214,4.985
Uromastyx microlepis,0.105,-0.979,289.84,2.462,20,0.067,289.84
Uta mearnsi,0.339,-0.470,14,1.146,20,0.217,14
Uta stansburiana,0.572,-0.243,3.625,0.559,37,1.667,3.625
Varanus albigularis,0.353,-0.452,963,2.984,35,0.861,963
Varanus bengalensis,0.181,-0.742,3440,3.537,30,0.283,3440
Varanus exanthematicus,2.743,0.438,3836,3.584,25,2.743,3836
Varanus giganteus,0.220,-0.658,2496,3.397,25.9,0.238,2496
Varanus gilleni,0.371,-0.431,27.5,1.439,37,1.083,27.5
Varanus gouldi,0.208,-0.682,674,2.829,20,0.133,674
Varanus mertensi,0.177,-0.752,904,2.956,35,0.433,904
Varanus panoptes,0.227,-0.644,2005,3.302,20.5,0.152,2005
Varanus varius,0.178,-0.750,4410,3.644,30,0.278,4410
Varnus rosenbergi,0.300,-0.523,1269.3,3.104,35,0.733,1269.3
Vipera berus,0.500,-0.301,63,1.799,25,0.500,63
Xantusia henshawi,0.503,-0.298,3.5,0.544,15,0.206,3.5
Xantusia vigilis,0.614,-0.212,1.5,0.176,30,0.959,1.5
Xenodon guentheri,0.303,-0.519,50,1.699,20,0.194,50
Xenodon merremii,0.373,-0.428,502,2.701,20,0.239,502
Xenodon neuwiedii,0.322,-0.492,53,1.724,20,0.206,53
