species,family,order,M_mg,Q_uW25,mass_g
Formica fusca,Formicidae,Hymenoptera,4.41,9.65,0.00441
Formica occulta,Formicidae,Hymenoptera,1.3,19.5,0.0013
Formica pratensis,Formicidae,Hymenoptera,7.17,31.4,0.00717
Lasius alienus,Formicidae,Hymenoptera,1.38,6.0,0.00138
Lasius flavus,Formicidae,Hymenoptera,2.58,11.5,0.0025800000000000003
Lasius niger,Formicidae,Hymenoptera,1.74,6.1,0.00174
Lasius sitiens,Formicidae,Hymenoptera,0.29,3.2,0.00029
Forelius foetidus,Formicidae,Hymenoptera,0.1,1.3,0.0001
Anoplolepis steinergroeveri*,Formicidae,Hymenoptera,4.94,14.1,0.004940000000000001
Leptogenys attenuata,Formicidae,Hymenoptera,4.0,12.3,0.004
Leptogenys nitida,Formicidae,Hymenoptera,1.72,5.2,0.00172
Leptogenys schwabi,Formicidae,Hymenoptera,8.96,21.0,0.008960000000000001
Paraponera clavata,Formicidae,Hymenoptera,190.0,430.8,0.19
Eciton hamatum,Formicidae,Hymenoptera,6.0,25.3,0.006
Ponaria sp.,Formicidae,Hymenoptera,0.19,1.35,0.00019
Unknown genus,Braconidae,Hymenoptera,1.7,27.8,0.0017
Unknown genus,Chaclidoidea,Hymenoptera,0.16,3.5,0.00016
Unknown genus,Formicidae,Hymenoptera,46.4,120.2,0.0464
